verb_up,ftp
wound up,0.17552014165559982
rank up,0.004167135938731839
breaking up,0.03985535123490036
mess up,0.07052393014264764
heat up,0.02071447379970157
wrapped up,0.2081921320170915
open up,0.030364357240123683
opened up,0.08946401469765956
light up,0.015391192817443352
sign up,0.31029594573964625
set up,0.1642799257306402
turned up,0.035514847097060126
pick up,0.3745765901392548
smile up,0.0007103281716152863
went up,0.020650960173148238
walked up,0.03747870528109029
looking up,0.006535217928171715
kept up,0.027238765369409886
scaling up,0.12195121951219512
took up,0.01346299603047159
grew up,0.47098014973555874
opening up,0.05000759532128209
shaping up,0.1183252427184466
things up,0.011270735772680372
warm up,0.06962595064410988
come up,0.06865558565590707
signed up,0.13647452762497012
get up,0.008567088684216998
back up,0.022758481280887755
wake up,0.4922087061425555
stay up,0.023578563890535323
see up,0.000363727431011043
clears up,0.11431742508324085
clean up,0.08662284661779046
heading up,0.027007029226785054
coming up,0.07441047224113387
offering up,0.0075286257232080175
caught up,0.19040761380001253
line up,0.03336485918453132
brighten up,0.33656761673741664
give up,0.039376893119861534
end up,0.08976028465051446
match up,0.025296953431737986
ramping up,0.7899159663865546
banged up,0.3436123348017621
picked up,0.522198193614044
put up,0.029975351832710502
looked up,0.03751279595812832
shows up,0.026858246212187104
break up,0.04425834219191579
serving up,0.017759942786761494
made up,0.02819451534594013
living up,0.0035652829170087614
dries up,0.09486166007905138
sync up,0.020858023228253142
pop up,0.22889161108842612
take up,0.016213656275899397
pulled up,0.05192342423695142
grow up,0.059621009792699985
pull up,0.054958742020862525
whipping up,0.19577464788732393
spice up,0.09382057072469718
grown up,0.12081497167057746
s up,0.0010401981192158544
pile up,0.08998371335504886
started up,0.003843154728751253
accommodate up,0.0561654055206224
tilt up,0.02328159645232816
accepts up,0.004243281471004243
follow up,0.1246763255240444
measuring up,0.010074916042366313
look up,0.014195961824372931
signing up,0.24852550017347058
fill up,0.052776379802046636
wraps up,0.10162119414788454
show up,0.04920248314373125
file up,0.0004402878571645462
stirred up,0.1901098901098901
backed up,0.18223965763195435
add up,0.016749363133648734
walk up,0.016148658403283354
keep up,0.04646607470634401
charged up,0.00792825578372758
came up,0.06372325898953118
given up,0.01498420071236364
rise up,0.026673111570066355
roll up,0.04314343222193052
project up,0.00033739644800505374
make up,0.021825651559892155
close up,0.022184323623712397
signal up,0.0013004605797886752
lives up,0.008801231046389432
going up,0.007627823835793756
fire up,0.007508894698563089
hood up,0.0037791652974038777
been up,0.0015093433340415115
scramble up,0.03638368246968027
gave up,0.057416786284971426
climb up,0.10258219274728377
soak up,0.2621012101210121
picking up,0.3500217202432667
struck up,0.014547413793103448
pack up,0.02287727434891188
whipped up,0.12224017232094776
increased up,0.0009492555124623688
build up,0.06768826619964974
speed up,0.05226371792196954
ended up,0.4167452300785634
chopped up,0.046744123209943256
cut up,0.011424814768749667
shore up,0.03043854587420658
bottled up,0.02928416485900217
flung up,0.004918032786885246
be up,0.0011570617194477564
cleaning up,0.03203460832899817
tidy up,0.13357546408393867
piled up,0.3957968476357268
way up,0.007528423338112348
hold up,0.03768791904385125
sets up,0.023990968106124753
bring up,0.017704901219215138
conjure up,0.5723404255319149
teaming up,0.6439317953861585
signs up,0.010474583002382843
gone up,0.024180414926007223
stepped up,0.20154043645699615
write up,0.0262526224271863
matching up,0.008902377339403135
getting up,0.008599994215250527
batter up,0.0027059530968129887
straight up,0.03606545347813325
lined up,0.23715714502197302
start up,0.02729870219284657
catching up,0.1843088418430884
broken up,0.029519901955560292
dressed up,0.16201309893140298
keeping up,0.046361818931869386
ride up,0.007373052681650612
shown up,0.0060759493670886075
dish up,0.003197330923750608
value up,0.000615056585205839
pent up,0.7377049180327869
ending up,0.05993635077793494
fired up,0.06213398085987716
