layer,fit_low,fit_high,se_low,se_high,diff,se_diff,lo95,hi95,lo80,hi80,panel
0,12.567179491380207,12.199187750210253,0.06443323677027854,0.07509293398224859,-0.3679917411699538,0.09894741398721403,-0.5619286725848933,-0.1740548097550143,-0.4946444310735878,-0.24133905126631985,Encoder
1,12.151562107299084,11.803450705537465,0.05405618983422224,0.06653712519447365,-0.3481114017616189,0.08572782913697588,-0.5161379468700916,-0.1800848566531462,-0.457843023056948,-0.2383797804662898,Encoder
2,11.751864306144507,11.42578875676262,0.05590158841157838,0.06806276428730056,-0.326075549381887,0.0880768270850293,-0.4987061304685444,-0.15344496829522955,-0.4388138880507245,-0.21333721071304948,Encoder
3,11.384172512714441,11.084454796897276,0.05641257593383378,0.06849984158496242,-0.2997177158171649,0.0887389825311036,-0.4736461215781279,-0.12578931005620184,-0.4133036134569775,-0.18613181817735228,Encoder
4,11.084761018248896,10.819215169700314,0.05364297759035916,0.0662477556330066,-0.265545848548582,0.0852427954209054,-0.43262172757355655,-0.0984699695236074,-0.3746566266873409,-0.15643507040982307,Encoder
5,10.929111953772013,10.711618540629965,0.056138707750109415,0.06822568800918437,-0.21749341314204784,0.08835326260064627,-0.39066580783931454,-0.044321018444781146,-0.33058558927087506,-0.10440123701322061,Encoder
6,10.989863554510439,10.840258702893056,0.056138707750109415,0.06822568800918435,-0.1496048516173829,0.08835326260064626,-0.32277724631464955,0.023567543079883763,-0.2626970277462101,-0.03651267548855569,Encoder
7,11.170635650195528,11.105355380359663,0.053642977590359166,0.06624775563300661,-0.06528026983586521,0.08524279542090543,-0.23235614886083986,0.10179560918910943,-0.17439104797462418,0.04383050830289374,Encoder
8,11.20602966506334,11.228754227563114,0.056412575933833815,0.0684998415849624,0.02272456249977317,0.0887389825311036,-0.15120384326118988,0.19665296826073622,-0.09086133514003944,0.13631046013958578,Encoder
9,10.854910050440497,10.957409229446872,0.05590158841157839,0.06806276428730053,0.10249917900637584,0.08807682708502929,-0.07013140208028157,0.27512976009303325,-0.010239159662461653,0.21523751767521332,Encoder
10,10.151279722574545,10.324310493596792,0.054056189834222244,0.06653712519447365,0.17303077102224762,0.0857278291369759,0.005004225913774862,0.3410573161307204,0.06329914972691847,0.28276239231757677,Encoder
11,9.270808637097844,9.509726301384811,0.06443323677027853,0.07509293398224856,0.23891766428696748,0.098947413987214,0.04498073287202803,0.43285459570190693,0.11226497438333355,0.3655703541906014,Encoder
0,9.162444845612368,9.43743823823925,0.040789571668855204,0.04828258938345274,0.2749933926268824,0.06320599334319317,0.15110964567422377,0.39887713957954096,0.19408972114759512,0.3558970641061696,Decoder
1,9.467760759874466,9.493272227328497,0.0349426632872443,0.04380441977660852,0.02551146745403088,0.056034069186264364,-0.08431530815104728,0.13533824305910902,-0.04621214110438751,0.09723507601244927,Decoder
2,9.690635449675602,9.456789429281141,0.03611339336373114,0.04466527702819371,-0.233846020394461,0.05743835088378556,-0.3464251881266807,-0.12126685266224131,-0.3073671095257065,-0.1603249312632155,Decoder
3,9.749171539949842,9.236479009549454,0.03645005740484173,0.044919377373754815,-0.512692530400388,0.057847706509956416,-0.6260740351599026,-0.3993110256408734,-0.5867375947331321,-0.43864746606764377,Decoder
4,9.627277432430095,8.83835039683892,0.03481503489575917,0.04370397735335095,-0.7889270355911755,0.0558759723968643,-0.8984439414890295,-0.6794101296933215,-0.8604482802591618,-0.7174057909231892,Decoder
5,9.436666136681737,8.45781187823937,0.03614345041570499,0.044689900322275475,-0.9788542584423663,0.05747639688400312,-1.0915079963350125,-0.8662005205497202,-1.0524240464538903,-0.9052844704308423,Decoder
6,9.299620621905566,8.303090618701452,0.036143450415704985,0.04468990032227548,-0.9965300032041142,0.05747639688400311,-1.1091837410967602,-0.8838762653114681,-1.0700997912156383,-0.9229602151925902,Decoder
7,9.243802454602525,8.37675141628646,0.03481503489575917,0.04370397735335095,-0.867051038316065,0.0558759723968643,-0.976567944213919,-0.757534132418211,-0.9385722829840513,-0.7955297936480787,Decoder
8,9.202251798573695,8.475696702166356,0.036450057404841744,0.04491937737375482,-0.7265550964073384,0.05784770650995643,-0.839936601166853,-0.6131735916478238,-0.8006001607400827,-0.6525100320745941,Decoder
9,9.110798961677194,8.408926435919167,0.036113393363731164,0.04466527702819369,-0.7018725257580272,0.05743835088378556,-0.8144516934902468,-0.5892933580258075,-0.7753936148892727,-0.6283514366267816,Decoder
10,8.965365649939844,8.168561023586376,0.03494266328724431,0.04380441977660851,-0.7968046263534685,0.05603406918626437,-0.9066314019585466,-0.6869778507483904,-0.8685282349118869,-0.7250810177950501,Decoder
11,8.792814246743413,7.841008420239582,0.04078957166885522,0.04828258938345272,-0.9518058265038309,0.06320599334319316,-1.0756895734564895,-0.8279220795511724,-1.0327094979831182,-0.8709021550245437,Decoder
