Model,Predictor,edf,f_stat,p_value
Encoder,Frequency,13.11807589136048,521.7151740746931,0
Decoder,Frequency,22.13571820418073,543.3517588271574,0
Encoder,Predictability,18.976466081125952,377.9669980320584,0
Decoder,Predictability,22.352558562175492,562.3579934950212,0
