layer,log_freq,fit,panel
0,8.225235324101668,10.000340001076864,OLMo-3 7B
1,8.225235324101668,9.91827138212974,OLMo-3 7B
2,8.225235324101668,9.853101974287917,OLMo-3 7B
3,8.225235324101668,9.82173098865669,OLMo-3 7B
4,8.225235324101668,9.84105763634137,OLMo-3 7B
5,8.225235324101668,9.927981128447248,OLMo-3 7B
6,8.225235324101668,10.099400676079632,OLMo-3 7B
7,8.225235324101668,10.372215490343816,OLMo-3 7B
8,8.225235324101668,10.763209999793059,OLMo-3 7B
9,8.225235324101668,11.275279944183364,OLMo-3 7B
10,8.225235324101668,11.884347163540522,OLMo-3 7B
11,8.225235324101668,12.56323436898515,OLMo-3 7B
12,8.225235324101668,13.284764271637869,OLMo-3 7B
13,8.225235324101668,14.0217595826193,OLMo-3 7B
14,8.225235324101668,14.747043013050058,OLMo-3 7B
15,8.225235324101668,15.433437274050764,OLMo-3 7B
16,8.225235324101668,16.054246235621196,OLMo-3 7B
17,8.225235324101668,16.59384042198181,OLMo-3 7B
18,8.225235324101668,17.04765701157373,OLMo-3 7B
19,8.225235324101668,17.411614341717243,OLMo-3 7B
20,8.225235324101668,17.68163074973264,OLMo-3 7B
21,8.225235324101668,17.853624572940202,OLMo-3 7B
22,8.225235324101668,17.923514148660217,OLMo-3 7B
23,8.225235324101668,17.887217814212974,OLMo-3 7B
24,8.225235324101668,17.741950568076586,OLMo-3 7B
25,8.225235324101668,17.496213163250967,OLMo-3 7B
26,8.225235324101668,17.16431731570259,OLMo-3 7B
27,8.225235324101668,16.76062276588524,OLMo-3 7B
28,8.225235324101668,16.29948925425272,OLMo-3 7B
29,8.225235324101668,15.795276521258817,OLMo-3 7B
30,8.225235324101668,15.262344307357326,OLMo-3 7B
31,8.225235324101668,14.715052353002042,OLMo-3 7B
0,8.359405582862589,9.9881915326581,OLMo-3 7B
1,8.359405582862589,9.904592345109865,OLMo-3 7B
2,8.359405582862589,9.837957755991452,OLMo-3 7B
3,8.359405582862589,9.805252363732677,OLMo-3 7B
4,8.359405582862589,9.823440766763365,OLMo-3 7B
5,8.359405582862589,9.909487563513332,OLMo-3 7B
6,8.359405582862589,10.080357352412399,OLMo-3 7B
7,8.359405582862589,10.353014731890386,OLMo-3 7B
8,8.359405582862589,10.744308984969512,OLMo-3 7B
9,8.359405582862589,11.257136230351952,OLMo-3 7B
10,8.359405582862589,11.867293465953034,OLMo-3 7B
11,8.359405582862589,12.54746417368279,OLMo-3 7B
12,8.359405582862589,13.27033183545125,OLMo-3 7B
13,8.359405582862589,14.008579933168445,OLMo-3 7B
14,8.359405582862589,14.734891948744401,OLMo-3 7B
15,8.359405582862589,15.42195136408915,OLMo-3 7B
16,8.359405582862589,16.042926937760306,OLMo-3 7B
17,8.359405582862589,16.582148791209914,OLMo-3 7B
18,8.359405582862589,17.035108408784442,OLMo-3 7B
19,8.359405582862589,17.39778255147795,OLMo-3 7B
20,8.359405582862589,17.666147980284492,OLMo-3 7B
21,8.359405582862589,17.83618145619812,OLMo-3 7B
22,8.359405582862589,17.903859740212894,OLMo-3 7B
23,8.359405582862589,17.865159593322872,OLMo-3 7B
24,8.359405582862589,17.717351413858417,OLMo-3 7B
25,8.359405582862589,17.468965036225242,OLMo-3 7B
26,8.359405582862589,17.134327706595506,OLMo-3 7B
27,8.359405582862589,16.727814583635297,OLMo-3 7B
28,8.359405582862589,16.26380082601071,OLMo-3 7B
29,8.359405582862589,15.756661592387843,OLMo-3 7B
30,8.359405582862589,15.220772041432785,OLMo-3 7B
31,8.359405582862589,14.670507331811635,OLMo-3 7B
0,8.49357584162351,9.976685206918736,OLMo-3 7B
1,8.49357584162351,9.891414417288082,OLMo-3 7B
2,8.49357584162351,9.823166972686845,OLMo-3 7B
3,8.49357584162351,9.788966218144438,OLMo-3 7B
4,8.49357584162351,9.805835498690278,OLMo-3 7B
5,8.49357584162351,9.89079815935378,OLMo-3 7B
6,8.49357584162351,10.06087754516436,OLMo-3 7B
7,8.49357584162351,10.333097001151431,OLMo-3 7B
8,8.49357584162351,10.724364070940744,OLMo-3 7B
9,8.49357584162351,11.237574328314262,OLMo-3 7B
10,8.49357584162351,11.848410017192053,OLMo-3 7B
11,8.49357584162351,12.529426743595161,OLMo-3 7B
12,8.49357584162351,13.25318011354463,OLMo-3 7B
13,8.49357584162351,13.9922257330615,OLMo-3 7B
14,8.49357584162351,14.719119208166818,OLMo-3 7B
15,8.49357584162351,15.406416144881625,OLMo-3 7B
16,8.49357584162351,16.02716148262882,OLMo-3 7B
