Model,Parameter,Estimate,Est.Error,Q2.5,Q97.5,% > 0
OLMo-3 7B,Intercept,18.532438808155863,0.013966155468552411,18.504807842154392,18.559816252249508,100
OLMo-3 7B,c_log_freq,-0.05330474402932982,0.013507032305707614,-0.07942240791988406,-0.02657195396215597,0
OLMo-3 7B,Ic_log_freqE2,-0.04306053538193081,0.008754673153387375,-0.06059517713136599,-0.0261408982023958,0
OLMo-3 7B,c_log_ftp,-0.1836648485311778,0.011501200323026338,-0.20602229922488444,-0.1609570005174677,0
OLMo-3 7B,Ic_log_ftpE2,0.110793981791242,0.00813499747336004,0.09435740384212737,0.1266621208183644,100
OLMo-3 7B,c_log_freq:c_log_ftp,-0.1296159749135471,0.01378284090764991,-0.15664104941715157,-0.10211343548051242,0
BabyLM 125M,Intercept,10.753828504162806,0.01634672445750645,10.722121092388305,10.786363685325432,100
BabyLM 125M,c_log_freq,0.027591639736905933,0.01134439453231609,0.005596987718500919,0.04975966659816601,99.3
BabyLM 125M,Ic_log_freqE2,0.009676327763320301,0.009114610495687177,-0.007934325793122046,0.027634416713228444,85.6
BabyLM 125M,c_log_ftp,-0.050450318394858966,0.011439521890768096,-0.0736504702407994,-0.028722058088936485,0
BabyLM 125M,Ic_log_ftpE2,0.0058451492169188,0.007569544578028973,-0.008878640834796406,0.02054007428325498,78.1
BabyLM 125M,c_log_freq:c_log_ftp,-0.022809446150394885,0.01266620266382601,-0.04787583828197233,0.001771317246123447,3.5
BabyLM 350M,Intercept,13.435990864197308,0.009542941302642877,13.41730569430223,13.454667035785468,100
BabyLM 350M,c_log_freq,-0.043746173935788994,0.006631642209562481,-0.05689896256562142,-0.030656226678970788,0
BabyLM 350M,Ic_log_freqE2,-0.010207149397349862,0.005332393099557508,-0.020645013676609376,2.1080786445641878e-4,2.8
BabyLM 350M,c_log_ftp,0.03602937074292332,0.006625955886979884,0.02299030336448696,0.04876814401231114,100
BabyLM 350M,Ic_log_ftpE2,-0.011538281571791723,0.004362230900262575,-0.02024693983001834,-0.003026201783295189,0.4
BabyLM 350M,c_log_freq:c_log_ftp,0.001734605307271091,0.0074307338927593666,-0.012822381239234739,0.01639142412047331,58.7
BabyLM 1.3B,Intercept,16.363249927244468,0.037751592027506886,16.290037814893203,16.43716092728271,100
BabyLM 1.3B,c_log_freq,0.17723040716444763,0.02653824641657874,0.12454716648305073,0.22934776037877808,100
BabyLM 1.3B,Ic_log_freqE2,0.00865212853548307,0.021261372241336878,-0.032561335166439546,0.05034488789724034,65.8
BabyLM 1.3B,c_log_ftp,-0.0977004111256866,0.02669148329547797,-0.1495428118701732,-0.0453296814283673,0
BabyLM 1.3B,Ic_log_ftpE2,0.013591738383791952,0.017332033525637138,-0.020222499508124606,0.04793881474003095,78.9
BabyLM 1.3B,c_log_freq:c_log_ftp,0.03650560481315078,0.02940809948683104,-0.021660954837796224,0.09392935426271494,89.3
