c_log_freq,c_log_predic,fit,freq_mean,freq_sd,predic_mean,predic_sd,label,q025,q975
-1.5960548391108245,-1.6481635226755555,18.715496188625508,11.022013901518658,1.752307319825614,-5.143973686165568,2.2628865767472357,OLMo — first layer,18.644643456557166,18.785299643482215
-1.4402790370694702,-1.6481635226755555,18.72488564102879,11.022013901518658,1.752307319825614,-5.143973686165568,2.2628865767472357,OLMo — first layer,18.660003005853195,18.788749817108787
-1.284503235028116,-1.6481635226755555,18.734275093432075,11.022013901518658,1.752307319825614,-5.143973686165568,2.2628865767472357,OLMo — first layer,18.674976563911496,18.792535252715776
-1.1287274329867618,-1.6481635226755555,18.743664545835355,11.022013901518658,1.752307319825614,-5.143973686165568,2.2628865767472357,OLMo — first layer,18.68995776433476,18.796638504629062
-0.9729516309454076,-1.6481635226755555,18.753053998238638,11.022013901518658,1.752307319825614,-5.143973686165568,2.2628865767472357,OLMo — first layer,18.703867152982536,18.801634484521642
-0.8171758289040534,-1.6481635226755555,18.762443450641918,11.022013901518658,1.752307319825614,-5.143973686165568,2.2628865767472357,OLMo — first layer,18.717186628983676,18.80716412509413
-0.6614000268626992,-1.6481635226755555,18.7718329030452,11.022013901518658,1.752307319825614,-5.143973686165568,2.2628865767472357,OLMo — first layer,18.73012437595742,18.813109419569106
-0.505624224821345,-1.6481635226755555,18.781222355448485,11.022013901518658,1.752307319825614,-5.143973686165568,2.2628865767472357,OLMo — first layer,18.74186839740314,18.82051517327922
-0.34984842277999073,-1.6481635226755555,18.790611807851764,11.022013901518658,1.752307319825614,-5.143973686165568,2.2628865767472357,OLMo — first layer,18.75240037942613,18.828815957928427
-0.19407262073863651,-1.6481635226755555,18.800001260255048,11.022013901518658,1.752307319825614,-5.143973686165568,2.2628865767472357,OLMo — first layer,18.76136184631845,18.83828931477233
-0.0382968186972823,-1.6481635226755555,18.809390712658328,11.022013901518658,1.752307319825614,-5.143973686165568,2.2628865767472357,OLMo — first layer,18.769549023875413,18.84960693304649
0.11747898334407192,-1.6481635226755555,18.81878016506161,11.022013901518658,1.752307319825614,-5.143973686165568,2.2628865767472357,OLMo — first layer,18.776621536659594,18.861443010268996
0.27325478538542614,-1.6481635226755555,18.828169617464894,11.022013901518658,1.752307319825614,-5.143973686165568,2.2628865767472357,OLMo — first layer,18.78199203950796,18.87406900932972
