model,epoch,loss
OPT-350M,11.925,2.7241
OPT-350M,11.95,2.717
OPT-350M,11.975,2.7565
OPT-350M,12.0,2.7516
OPT-350M,12.025,2.7071
OPT-350M,12.05,2.7548
OPT-350M,12.075,2.7451
OPT-350M,12.1,2.7465
OPT-350M,12.125,2.7268
OPT-350M,12.15,2.7506
OPT-350M,12.175,2.7276
OPT-350M,12.2,2.7425
OPT-350M,12.225,2.7211
OPT-350M,12.25,2.7396
OPT-350M,12.275,2.7321
OPT-350M,12.3,2.7412
OPT-350M,12.325,2.7134
OPT-350M,12.35,2.7297
OPT-350M,12.375,2.7013
OPT-350M,12.4,2.7549
OPT-350M,12.425,2.7187
OPT-350M,12.45,2.719
OPT-350M,12.475,2.7367
OPT-350M,12.5,2.7256
OPT-350M,12.525,2.7506
OPT-350M,12.55,2.7675
OPT-350M,12.575,2.7227
OPT-350M,12.6,2.7502
OPT-350M,12.625,2.7531
OPT-350M,12.65,2.7243
OPT-350M,12.675,2.7427
OPT-350M,12.7,2.7445
OPT-350M,12.725,2.7453
OPT-350M,12.75,2.7321
OPT-350M,12.775,2.7258
OPT-350M,12.8,2.764
OPT-350M,12.825,2.721
OPT-350M,12.85,2.7477
OPT-350M,12.875,2.7351
OPT-350M,12.9,2.7421
OPT-350M,12.925,2.7227
OPT-350M,12.95,2.7284
OPT-350M,12.975,2.6983
OPT-350M,13.0,2.7375
OPT-350M,13.025,2.7376
OPT-350M,13.05,2.7093
OPT-350M,13.075,2.7314
OPT-350M,13.1,2.7235
OPT-350M,13.125,2.7328
OPT-350M,13.15,2.7352
OPT-350M,13.175,2.7093
OPT-350M,13.2,2.7293
OPT-350M,13.225,2.7142
OPT-350M,13.25,2.7015
OPT-350M,13.275,2.7319
OPT-350M,13.3,2.7373
OPT-350M,13.325,2.7338
OPT-350M,13.35,2.7231
OPT-350M,13.375,2.6863
OPT-350M,13.4,2.6969
OPT-350M,13.425,2.7071
OPT-350M,13.45,2.7344
OPT-350M,13.475,2.7111
OPT-350M,13.5,2.7053
OPT-350M,13.525,2.6908
OPT-350M,13.55,2.7211
OPT-350M,13.575,2.7285
OPT-350M,13.6,2.7173
OPT-350M,13.625,2.6787
OPT-350M,13.65,2.7124
OPT-350M,13.675,2.7192
OPT-350M,13.7,2.7289
OPT-350M,13.725,2.7175
OPT-350M,13.75,2.6696
OPT-350M,13.775,2.6873
OPT-350M,13.8,2.7179
OPT-350M,13.825,2.7045
OPT-350M,13.85,2.7194
OPT-350M,13.875,2.7039
OPT-350M,13.9,2.6955
OPT-350M,13.925,2.6994
OPT-350M,13.95,2.6901
OPT-350M,13.975,2.7221
OPT-350M,14.0,2.7172
OPT-350M,14.025,2.723
OPT-350M,14.05,2.7031
OPT-350M,14.075,2.7138
OPT-350M,14.1,2.7237
OPT-350M,14.125,2.7106
OPT-350M,14.15,2.6874
OPT-350M,14.175,2.6746
OPT-350M,14.2,2.7
OPT-350M,14.225,2.7057
OPT-350M,14.25,2.7029
OPT-350M,14.275,2.6856
OPT-350M,14.3,2.6907
OPT-350M,14.325,2.6988
OPT-350M,14.35,2.7132
OPT-350M,14.375,2.6637
OPT-350M,14.4,2.7148
OPT-350M,14.425,2.6857
OPT-350M,14.45,2.6932
OPT-350M,14.475,2.6809
OPT-350M,14.5,2.7046
OPT-350M,14.525,2.6707
OPT-350M,14.55,2.7082
OPT-350M,14.575,2.6906
OPT-350M,14.6,2.687
OPT-350M,14.625,2.7145
OPT-350M,14.65,2.6958
OPT-350M,14.675,2.7011
OPT-350M,14.7,2.7104
OPT-350M,14.725,2.6882
OPT-350M,14.75,2.666
OPT-350M,14.775,2.6923
OPT-350M,14.8,2.7115
OPT-350M,14.825,2.7015
OPT-350M,14.85,2.672
OPT-350M,14.875,2.6756
OPT-350M,14.9,2.674
OPT-350M,14.925,2.7001
OPT-350M,14.95,2.7072
OPT-350M,14.975,2.6926
OPT-350M,15.0,2.6735
OPT-350M,15.025,2.6799
OPT-350M,15.05,2.6895
OPT-350M,15.075,2.6678
OPT-350M,15.1,2.7134
OPT-350M,15.125,2.6782
OPT-350M,15.15,2.6857
OPT-350M,15.175,2.6935
OPT-350M,15.2,2.6793
OPT-350M,15.225,2.6767
OPT-350M,15.25,2.6714
OPT-350M,15.275,2.6708
OPT-350M,15.3,2.6782
OPT-350M,15.325,2.6611
OPT-350M,15.35,2.6991
OPT-350M,15.375,2.7139
OPT-350M,15.4,2.679
OPT-350M,15.425,2.6777
OPT-350M,15.45,2.6653
OPT-350M,15.475,2.7039
OPT-350M,15.5,2.6826
OPT-350M,15.525,2.6567
OPT-350M,15.55,2.6343
OPT-350M,15.575,2.6795
OPT-350M,15.6,2.6568
OPT-350M,15.625,2.6778
OPT-350M,15.65,2.6709
OPT-350M,15.675,2.6738
OPT-350M,15.7,2.6834
OPT-350M,15.725,2.6704
OPT-350M,15.75,2.6775
OPT-350M,15.775,2.6912
OPT-350M,15.8,2.6762
OPT-350M,15.825,2.6946
OPT-350M,15.85,2.6865
OPT-350M,15.875,2.6816
OPT-350M,15.9,2.6674
OPT-350M,15.925,2.6824
OPT-350M,15.95,2.6774
OPT-350M,15.975,2.6987
OPT-350M,16.0,2.6853
OPT-350M,16.025,2.6713
OPT-350M,16.05,2.6631
OPT-350M,16.075,2.6572
OPT-350M,16.1,2.6627
OPT-350M,16.125,2.6732
OPT-350M,16.15,2.6749
OPT-350M,16.175,2.6479
OPT-350M,16.2,2.6909
OPT-350M,16.225,2.6376
OPT-350M,16.25,2.6767
OPT-350M,16.275,2.6672
OPT-350M,16.3,2.7126
OPT-350M,16.325,2.6708
OPT-350M,16.35,2.668
OPT-350M,16.375,2.6575
OPT-350M,16.4,2.6587
OPT-350M,16.425,2.68
OPT-350M,16.45,2.6472
OPT-350M,16.475,2.6866
OPT-350M,16.5,2.6493
OPT-350M,16.525,2.6849
OPT-350M,16.55,2.6663
OPT-350M,16.575,2.6611
OPT-350M,16.6,2.6652
OPT-350M,16.625,2.6621
OPT-350M,16.65,2.6626
OPT-350M,16.675,2.6544
OPT-350M,16.7,2.6819
OPT-350M,16.725,2.6503
OPT-350M,16.75,2.6575
OPT-350M,16.775,2.6683
OPT-350M,16.8,2.6604
OPT-350M,16.825,2.6676
OPT-350M,16.85,2.6792
OPT-350M,16.875,2.6562
OPT-350M,16.9,2.6582
OPT-350M,16.925,2.6335
OPT-350M,16.95,2.6834
OPT-350M,16.975,2.6708
OPT-350M,17.0,2.6851
OPT-350M,17.025,2.6701
OPT-350M,17.05,2.6762
OPT-350M,17.075,2.631
OPT-350M,17.1,2.6635
OPT-350M,17.125,2.6773
OPT-350M,17.15,2.6728
OPT-350M,17.175,2.6673
OPT-350M,17.2,2.662
OPT-350M,17.225,2.661
OPT-350M,17.25,2.6246
OPT-350M,17.275,2.6595
OPT-350M,17.3,2.6523
OPT-350M,17.325,2.6764
OPT-350M,17.35,2.6329
OPT-350M,17.375,2.6651
OPT-350M,17.4,2.6639
OPT-350M,17.425,2.6497
OPT-350M,17.45,2.6457
OPT-350M,17.475,2.662
OPT-350M,17.5,2.6859
OPT-350M,17.525,2.6442
OPT-350M,17.55,2.6434
OPT-350M,17.575,2.6453
OPT-350M,17.6,2.6346
OPT-350M,17.625,2.6612
OPT-350M,17.65,2.6531
OPT-350M,17.675,2.6333
OPT-350M,17.7,2.6858
OPT-350M,17.725,2.652
OPT-350M,17.75,2.6557
OPT-350M,17.775,2.6485
OPT-350M,17.8,2.6611
OPT-350M,17.825,2.6484
OPT-350M,17.85,2.6462
OPT-350M,17.875,2.6697
OPT-350M,17.9,2.647
OPT-350M,17.925,2.633
OPT-350M,17.95,2.6604
OPT-350M,17.975,2.6592
OPT-350M,18.0,2.6536
OPT-350M,18.025,2.6661
OPT-350M,18.05,2.6562
OPT-350M,18.075,2.6418
OPT-350M,18.1,2.617
OPT-350M,18.125,2.6471
OPT-350M,18.15,2.6311
OPT-350M,18.175,2.6616
OPT-350M,18.2,2.6284
OPT-350M,18.225,2.6707
OPT-350M,18.25,2.6405
OPT-350M,18.275,2.6448
OPT-350M,18.3,2.6582
OPT-350M,18.325,2.6497
OPT-350M,18.35,2.6413
OPT-350M,18.375,2.6614
OPT-350M,18.4,2.6443
OPT-350M,18.425,2.672
OPT-350M,18.45,2.6562
OPT-350M,18.475,2.6414
OPT-350M,18.5,2.6518
OPT-350M,18.525,2.6514
OPT-350M,18.55,2.6607
OPT-350M,18.575,2.6397
OPT-350M,18.6,2.6562
OPT-350M,18.625,2.6486
OPT-350M,18.65,2.658
OPT-350M,18.675,2.6201
OPT-350M,18.7,2.6245
OPT-350M,18.725,2.6468
OPT-350M,18.75,2.6591
OPT-350M,18.775,2.6473
OPT-350M,18.8,2.6162
OPT-350M,18.825,2.6176
OPT-350M,18.85,2.6403
OPT-350M,18.875,2.6547
OPT-350M,18.9,2.6506
OPT-350M,18.925,2.6569
OPT-350M,18.95,2.6614
OPT-350M,18.975,2.648
OPT-350M,19.0,2.6579
OPT-350M,19.025,2.6631
OPT-350M,19.05,2.6632
OPT-350M,19.075,2.6457
OPT-350M,19.1,2.6346
OPT-350M,19.125,2.6519
OPT-350M,19.15,2.6398
OPT-350M,19.175,2.6511
OPT-350M,19.2,2.6622
OPT-350M,19.225,2.6237
OPT-350M,19.25,2.6355
OPT-350M,19.275,2.6562
OPT-350M,19.3,2.6507
OPT-350M,19.325,2.6498
OPT-350M,19.35,2.6123
OPT-350M,19.375,2.6193
OPT-350M,19.4,2.6325
OPT-350M,19.425,2.6555
OPT-350M,19.45,2.6193
OPT-350M,19.475,2.6434
OPT-350M,19.5,2.6477
OPT-350M,19.525,2.6466
OPT-350M,19.55,2.6487
OPT-350M,19.575,2.666
OPT-350M,19.6,2.6293
OPT-350M,19.625,2.6455
OPT-350M,19.65,2.6304
OPT-350M,19.675,2.6477
OPT-350M,19.7,2.6186
OPT-350M,19.725,2.6529
OPT-350M,19.75,2.6383
OPT-350M,19.775,2.6432
OPT-350M,19.8,2.63
OPT-350M,19.825,2.652
OPT-350M,19.85,2.641
OPT-350M,19.875,2.6505
OPT-350M,19.9,2.6406
OPT-350M,19.925,2.6347
OPT-350M,19.95,2.6282
OPT-350M,19.975,2.6232
OPT-350M,20.0,2.6278
OPT-1.3B,0.0125,9.3989
OPT-1.3B,0.025,8.4762
OPT-1.3B,0.0375,7.4848
OPT-1.3B,0.05,6.9923
OPT-1.3B,0.0625,6.5584
OPT-1.3B,0.075,6.2805
OPT-1.3B,0.0875,6.0361
OPT-1.3B,0.1,5.875
OPT-1.3B,0.1125,5.6745
OPT-1.3B,0.125,5.5977
OPT-1.3B,0.1375,5.4646
OPT-1.3B,0.15,5.4467
OPT-1.3B,0.1625,5.3372
OPT-1.3B,0.175,5.2589
OPT-1.3B,0.1875,5.2572
OPT-1.3B,0.2,5.1917
OPT-1.3B,0.2125,5.1546
OPT-1.3B,0.225,5.0312
OPT-1.3B,0.2375,4.9931
OPT-1.3B,0.25,4.9292
OPT-1.3B,0.2625,4.8568
OPT-1.3B,0.275,4.8717
OPT-1.3B,0.2875,4.7794
OPT-1.3B,0.3,4.7614
OPT-1.3B,0.3125,4.6872
OPT-1.3B,0.325,4.711
OPT-1.3B,0.3375,4.6462
OPT-1.3B,0.35,4.642
OPT-1.3B,0.3625,4.6218
OPT-1.3B,0.375,4.5877
OPT-1.3B,0.3875,4.4623
OPT-1.3B,0.4,4.5194
OPT-1.3B,0.4125,4.5126
OPT-1.3B,0.425,4.5343
OPT-1.3B,0.4375,4.4724
OPT-1.3B,0.45,4.4491
OPT-1.3B,0.4625,4.516
OPT-1.3B,0.475,4.3919
OPT-1.3B,0.4875,4.3931
OPT-1.3B,0.5,4.3897
OPT-1.3B,0.5125,4.3196
OPT-1.3B,0.525,4.376
OPT-1.3B,0.5375,4.2859
OPT-1.3B,0.55,4.3367
OPT-1.3B,0.5625,4.3016
OPT-1.3B,0.575,4.2871
OPT-1.3B,0.5875,4.2641
OPT-1.3B,0.6,4.247
OPT-1.3B,0.6125,4.2608
OPT-1.3B,0.625,4.2511
OPT-1.3B,0.6375,4.2334
OPT-1.3B,0.65,4.2073
OPT-1.3B,0.6625,4.1741
OPT-1.3B,0.675,4.1959
OPT-1.3B,0.6875,4.2115
OPT-1.3B,0.7,4.1602
OPT-1.3B,0.7125,4.1132
OPT-1.3B,0.725,4.1658
OPT-1.3B,0.7375,4.1512
OPT-1.3B,0.75,4.056
OPT-1.3B,0.7625,4.1228
OPT-1.3B,0.775,4.0958
OPT-1.3B,0.7875,4.0511
OPT-1.3B,0.8,4.0641
OPT-1.3B,0.8125,4.0238
OPT-1.3B,0.825,3.9919
OPT-1.3B,0.8375,4.0403
OPT-1.3B,0.85,3.991
OPT-1.3B,0.8625,4.0542
OPT-1.3B,0.875,4.0061
OPT-1.3B,0.8875,3.9802
OPT-1.3B,0.9,3.9934
OPT-1.3B,0.9125,3.9408
OPT-1.3B,0.925,3.9514
OPT-1.3B,0.9375,3.9133
OPT-1.3B,0.95,3.9213
OPT-1.3B,0.9625,3.9631
OPT-1.3B,0.975,3.9227
OPT-1.3B,0.9875,3.904
OPT-1.3B,1.0,3.8903
OPT-1.3B,1.0125,3.8707
OPT-1.3B,1.025,3.8059
OPT-1.3B,1.0375,3.8148
OPT-1.3B,1.05,3.8513
OPT-1.3B,1.0625,3.8306
OPT-1.3B,1.075,3.8431
OPT-1.3B,1.0875,3.8386
OPT-1.3B,1.1,3.7957
OPT-1.3B,1.1125,3.7736
OPT-1.3B,1.125,3.792
OPT-1.3B,1.1375,3.7576
OPT-1.3B,1.15,3.7461
OPT-1.3B,1.1625,3.7461
OPT-1.3B,1.175,3.7387
OPT-1.3B,1.1875,3.7516
OPT-1.3B,1.2,3.7539
OPT-1.3B,1.2125,3.7115
OPT-1.3B,1.225,3.6444
OPT-1.3B,1.2375,3.6658
OPT-1.3B,1.25,3.6389
OPT-1.3B,1.2625,3.6911
OPT-1.3B,1.275,3.6822
OPT-1.3B,1.2875,3.6124
OPT-1.3B,1.3,3.65
OPT-1.3B,1.3125,3.6001
OPT-1.3B,1.325,3.6535
OPT-1.3B,1.3375,3.5895
OPT-1.3B,1.35,3.5708
OPT-1.3B,1.3625,3.5887
OPT-1.3B,1.375,3.5722
OPT-1.3B,1.3875,3.563
OPT-1.3B,1.4,3.5859
OPT-1.3B,1.4125,3.5728
OPT-1.3B,1.425,3.5226
OPT-1.3B,1.4375,3.5521
OPT-1.3B,1.45,3.5526
OPT-1.3B,1.4625,3.561
OPT-1.3B,1.475,3.5134
OPT-1.3B,1.4875,3.5132
OPT-1.3B,1.5,3.5069
OPT-1.3B,1.5125,3.5208
OPT-1.3B,1.525,3.5146
OPT-1.3B,1.5375,3.5034
OPT-1.3B,1.55,3.4733
OPT-1.3B,1.5625,3.4865
OPT-1.3B,1.575,3.4341
OPT-1.3B,1.5875,3.4511
OPT-1.3B,1.6,3.4278
OPT-1.3B,1.6125,3.4135
OPT-1.3B,1.625,3.4529
OPT-1.3B,1.6375,3.411
OPT-1.3B,1.65,3.4202
OPT-1.3B,1.6625,3.3934
OPT-1.3B,1.675,3.3758
OPT-1.3B,1.6875,3.4513
OPT-1.3B,1.7,3.3924
OPT-1.3B,1.7125,3.3789
OPT-1.3B,1.725,3.4079
OPT-1.3B,1.7375,3.4473
OPT-1.3B,1.75,3.3498
OPT-1.3B,1.7625,3.3589
OPT-1.3B,1.775,3.3407
OPT-1.3B,1.7875,3.3222
OPT-1.3B,1.8,3.3157
OPT-1.3B,1.8125,3.3134
OPT-1.3B,1.825,3.3365
OPT-1.3B,1.8375,3.3427
OPT-1.3B,1.85,3.3465
OPT-1.3B,1.8625,3.3133
OPT-1.3B,1.875,3.3067
OPT-1.3B,1.8875,3.3203
OPT-1.3B,1.9,3.3229
OPT-1.3B,1.9125,3.2763
OPT-1.3B,1.925,3.2574
OPT-1.3B,1.9375,3.2662
OPT-1.3B,1.95,3.2103
OPT-1.3B,1.9625,3.2386
OPT-1.3B,1.975,3.2295
OPT-1.3B,1.9875,3.2479
OPT-1.3B,2.0,3.1449
OPT-1.3B,2.0125,3.2046
OPT-1.3B,2.025,3.1962
OPT-1.3B,2.0375,3.2128
OPT-1.3B,2.05,3.1864
OPT-1.3B,2.0625,3.1079
OPT-1.3B,2.075,3.1305
OPT-1.3B,2.0875,3.1549
OPT-1.3B,2.1,3.1394
OPT-1.3B,2.1125,3.1296
OPT-1.3B,2.125,3.1296
OPT-1.3B,2.1375,3.07
OPT-1.3B,2.15,3.1054
OPT-1.3B,2.1625,3.1174
OPT-1.3B,2.175,3.134
OPT-1.3B,2.1875,3.0618
OPT-1.3B,2.2,3.071
OPT-1.3B,2.2125,3.1083
OPT-1.3B,2.225,3.1445
OPT-1.3B,2.2375,3.0817
OPT-1.3B,2.25,3.1008
OPT-1.3B,2.2625,3.0893
OPT-1.3B,2.275,3.0439
OPT-1.3B,2.2875,3.0546
OPT-1.3B,2.3,3.0388
OPT-1.3B,2.3125,3.0369
OPT-1.3B,2.325,3.0681
OPT-1.3B,2.3375,3.0492
OPT-1.3B,2.35,3.0772
OPT-1.3B,2.3625,3.0
OPT-1.3B,2.375,2.9554
OPT-1.3B,2.3875,3.0402
OPT-1.3B,2.4,2.9753
OPT-1.3B,2.4125,3.0093
OPT-1.3B,2.425,3.0021
OPT-1.3B,2.4375,3.0047
OPT-1.3B,2.45,2.9994
OPT-1.3B,2.4625,2.9933
OPT-1.3B,2.475,2.9833
OPT-1.3B,2.4875,2.9798
OPT-1.3B,2.5,3.0194
OPT-1.3B,2.5125,2.9772
OPT-1.3B,2.525,2.9584
OPT-1.3B,2.5375,2.998
OPT-1.3B,2.55,2.9955
OPT-1.3B,2.5625,2.9949
OPT-1.3B,2.575,2.9765
OPT-1.3B,2.5875,2.926
OPT-1.3B,2.6,2.9366
OPT-1.3B,2.6125,2.9666
OPT-1.3B,2.625,2.9438
OPT-1.3B,2.6375,2.9361
OPT-1.3B,2.65,2.9346
OPT-1.3B,2.6625,2.9252
OPT-1.3B,2.675,2.9556
OPT-1.3B,2.6875,2.9667
OPT-1.3B,2.7,2.9305
OPT-1.3B,2.7125,2.8885
OPT-1.3B,2.725,2.9476
OPT-1.3B,2.7375,2.9052
OPT-1.3B,2.75,2.9026
OPT-1.3B,2.7625,2.9316
OPT-1.3B,2.775,2.9169
OPT-1.3B,2.7875,2.948
OPT-1.3B,2.8,2.9254
OPT-1.3B,2.8125,2.9535
OPT-1.3B,2.825,2.9233
OPT-1.3B,2.8375,2.8804
OPT-1.3B,2.85,2.8559
OPT-1.3B,2.8625,2.8798
OPT-1.3B,2.875,2.9262
OPT-1.3B,2.8875,2.8739
OPT-1.3B,2.9,2.9087
OPT-1.3B,2.9125,2.9033
OPT-1.3B,2.925,2.8754
OPT-1.3B,2.9375,2.8808
OPT-1.3B,2.95,2.9139
OPT-1.3B,2.9625,2.8785
OPT-1.3B,2.975,2.8699
OPT-1.3B,2.9875,2.868
OPT-1.3B,3.0,2.8734
OPT-1.3B,3.0125,2.8741
OPT-1.3B,3.025,2.8462
OPT-1.3B,3.0375,2.8295
OPT-1.3B,3.05,2.8542
OPT-1.3B,3.0625,2.8459
OPT-1.3B,3.075,2.8667
OPT-1.3B,3.0875,2.8177
OPT-1.3B,3.1,2.8664
OPT-1.3B,3.1125,2.8515
OPT-1.3B,3.125,2.8174
OPT-1.3B,3.1375,2.8263
OPT-1.3B,3.15,2.803
OPT-1.3B,3.1625,2.8351
OPT-1.3B,3.175,2.836
OPT-1.3B,3.1875,2.7767
OPT-1.3B,3.2,2.8311
OPT-1.3B,3.2125,2.781
OPT-1.3B,3.225,2.806
OPT-1.3B,3.2375,2.7881
OPT-1.3B,3.25,2.8111
OPT-1.3B,3.2625,2.8142
OPT-1.3B,3.275,2.8036
OPT-1.3B,3.2875,2.7829
OPT-1.3B,3.3,2.7922
OPT-1.3B,3.3125,2.8304
OPT-1.3B,3.325,2.8249
OPT-1.3B,3.3375,2.8022
OPT-1.3B,3.35,2.8083
OPT-1.3B,3.3625,2.7746
OPT-1.3B,3.375,2.796
OPT-1.3B,3.3875,2.8071
OPT-1.3B,3.4,2.778
OPT-1.3B,3.4125,2.8178
OPT-1.3B,3.425,2.7953
OPT-1.3B,3.4375,2.7805
OPT-1.3B,3.45,2.7837
OPT-1.3B,3.4625,2.8078
OPT-1.3B,3.475,2.7746
OPT-1.3B,3.4875,2.7866
OPT-1.3B,3.5,2.7756
OPT-1.3B,3.5125,2.776
OPT-1.3B,3.525,2.7974
OPT-1.3B,3.5375,2.7435
OPT-1.3B,3.55,2.7642
OPT-1.3B,3.5625,2.7641
OPT-1.3B,3.575,2.8031
OPT-1.3B,3.5875,2.7685
OPT-1.3B,3.6,2.7754
OPT-1.3B,3.6125,2.7927
OPT-1.3B,3.625,2.7747
OPT-1.3B,3.6375,2.7483
OPT-1.3B,3.65,2.7754
OPT-1.3B,3.6625,2.7552
OPT-1.3B,3.675,2.7103
OPT-1.3B,3.6875,2.7363
OPT-1.3B,3.7,2.7861
OPT-1.3B,3.7125,2.7099
OPT-1.3B,3.725,2.7548
OPT-1.3B,3.7375,2.7353
OPT-1.3B,3.75,2.7721
OPT-1.3B,3.7625,2.7462
OPT-1.3B,3.775,2.7404
OPT-1.3B,3.7875,2.7309
OPT-1.3B,3.8,2.7635
OPT-1.3B,3.8125,2.7027
OPT-1.3B,3.825,2.7294
OPT-1.3B,3.8375,2.7442
OPT-1.3B,3.85,2.7739
OPT-1.3B,3.8625,2.7741
OPT-1.3B,3.875,2.7649
OPT-1.3B,3.8875,2.7509
OPT-1.3B,3.9,2.697
OPT-1.3B,3.9125,2.7505
OPT-1.3B,3.925,2.7366
OPT-1.3B,3.9375,2.7335
OPT-1.3B,3.95,2.7596
OPT-1.3B,3.9625,2.6962
OPT-1.3B,3.975,2.7267
OPT-1.3B,3.9875,2.7677
OPT-1.3B,4.0,2.7311
OPT-1.3B,4.0125,2.6954
OPT-1.3B,4.025,2.6952
OPT-1.3B,4.0375,2.7026
OPT-1.3B,4.05,2.6947
OPT-1.3B,4.0625,2.6588
OPT-1.3B,4.075,2.655
OPT-1.3B,4.0875,2.6717
OPT-1.3B,4.1,2.6946
OPT-1.3B,4.1125,2.6767
OPT-1.3B,4.125,2.6714
OPT-1.3B,4.1375,2.6733
OPT-1.3B,4.15,2.6718
OPT-1.3B,4.1625,2.7073
OPT-1.3B,4.175,2.6739
OPT-1.3B,4.1875,2.6657
OPT-1.3B,4.2,2.6517
OPT-1.3B,4.2125,2.6923
OPT-1.3B,4.225,2.6979
OPT-1.3B,4.2375,2.7069
OPT-1.3B,4.25,2.6627
OPT-1.3B,4.2625,2.6504
OPT-1.3B,4.275,2.6883
OPT-1.3B,4.2875,2.6565
OPT-1.3B,4.3,2.6669
OPT-1.3B,4.3125,2.6623
OPT-1.3B,4.325,2.6285
OPT-1.3B,4.3375,2.6561
OPT-1.3B,4.35,2.6434
OPT-1.3B,4.3625,2.6826
OPT-1.3B,4.375,2.6814
OPT-1.3B,4.3875,2.6486
OPT-1.3B,4.4,2.6861
OPT-1.3B,4.4125,2.6628
OPT-1.3B,4.425,2.7098
OPT-1.3B,4.4375,2.6519
OPT-1.3B,4.45,2.6927
OPT-1.3B,4.4625,2.6709
OPT-1.3B,4.475,2.7008
OPT-1.3B,4.4875,2.6511
OPT-1.3B,4.5,2.6495
OPT-1.3B,4.5125,2.664
OPT-1.3B,4.525,2.6723
OPT-1.3B,4.5375,2.6861
OPT-1.3B,4.55,2.6597
OPT-1.3B,4.5625,2.6535
OPT-1.3B,4.575,2.6395
OPT-1.3B,4.5875,2.6678
OPT-1.3B,4.6,2.6385
OPT-1.3B,4.6125,2.6453
OPT-1.3B,4.625,2.6491
OPT-1.3B,4.6375,2.6191
OPT-1.3B,4.65,2.6676
OPT-1.3B,4.6625,2.6366
OPT-1.3B,4.675,2.6126
OPT-1.3B,4.6875,2.6326
OPT-1.3B,4.7,2.6486
OPT-1.3B,4.7125,2.6431
OPT-1.3B,4.725,2.6178
OPT-1.3B,4.7375,2.6671
OPT-1.3B,4.75,2.6418
OPT-1.3B,4.7625,2.661
OPT-1.3B,4.775,2.6347
OPT-1.3B,4.7875,2.6365
OPT-1.3B,4.8,2.6476
OPT-1.3B,4.8125,2.6449
OPT-1.3B,4.825,2.6645
OPT-1.3B,4.8375,2.6472
OPT-1.3B,4.85,2.6325
OPT-1.3B,4.8625,2.6205
OPT-1.3B,4.875,2.6209
OPT-1.3B,4.8875,2.6664
OPT-1.3B,4.9,2.6034
OPT-1.3B,4.9125,2.6309
OPT-1.3B,4.925,2.6256
OPT-1.3B,4.9375,2.6261
OPT-1.3B,4.95,2.6314
OPT-1.3B,4.9625,2.6271
OPT-1.3B,4.975,2.6283
OPT-1.3B,4.9875,2.6336
OPT-1.3B,5.0,2.614
OPT-1.3B,5.0125,2.586
OPT-1.3B,5.025,2.597
OPT-1.3B,5.0375,2.5757
OPT-1.3B,5.05,2.6027
OPT-1.3B,5.0625,2.5529
OPT-1.3B,5.075,2.5872
OPT-1.3B,5.0875,2.5717
OPT-1.3B,5.1,2.5451
OPT-1.3B,5.1125,2.5582
OPT-1.3B,5.125,2.5763
OPT-1.3B,5.1375,2.5853
OPT-1.3B,5.15,2.5731
OPT-1.3B,5.1625,2.6004
OPT-1.3B,5.175,2.6045
OPT-1.3B,5.1875,2.5769
OPT-1.3B,5.2,2.5768
OPT-1.3B,5.2125,2.5811
OPT-1.3B,5.225,2.5682
OPT-1.3B,5.2375,2.5938
OPT-1.3B,5.25,2.6186
OPT-1.3B,5.2625,2.5763
OPT-1.3B,5.275,2.5613
OPT-1.3B,5.2875,2.5479
OPT-1.3B,5.3,2.5625
OPT-1.3B,5.3125,2.6117
OPT-1.3B,5.325,2.5646
OPT-1.3B,5.3375,2.6057
OPT-1.3B,5.35,2.5687
OPT-1.3B,5.3625,2.5748
OPT-1.3B,5.375,2.5944
OPT-1.3B,5.3875,2.5644
OPT-1.3B,5.4,2.558
OPT-1.3B,5.4125,2.5487
OPT-1.3B,5.425,2.534
OPT-1.3B,5.4375,2.5522
OPT-1.3B,5.45,2.5526
OPT-1.3B,5.4625,2.5268
OPT-1.3B,5.475,2.5757
OPT-1.3B,5.4875,2.5532
OPT-1.3B,5.5,2.532
OPT-1.3B,5.5125,2.5814
OPT-1.3B,5.525,2.5665
OPT-1.3B,5.5375,2.5525
OPT-1.3B,5.55,2.5473
OPT-1.3B,5.5625,2.5355
OPT-1.3B,5.575,2.5738
OPT-1.3B,5.5875,2.5583
OPT-1.3B,5.6,2.5238
OPT-1.3B,5.6125,2.579
OPT-1.3B,5.625,2.5952
OPT-1.3B,5.6375,2.572
OPT-1.3B,5.65,2.5479
OPT-1.3B,5.6625,2.5372
OPT-1.3B,5.675,2.5735
OPT-1.3B,5.6875,2.5579
OPT-1.3B,5.7,2.5838
OPT-1.3B,5.7125,2.5692
OPT-1.3B,5.725,2.564
OPT-1.3B,5.7375,2.5454
OPT-1.3B,5.75,2.603
OPT-1.3B,5.7625,2.5548
OPT-1.3B,5.775,2.5883
OPT-1.3B,5.7875,2.5575
OPT-1.3B,5.8,2.5395
OPT-1.3B,5.8125,2.5397
OPT-1.3B,5.825,2.567
OPT-1.3B,5.8375,2.5734
OPT-1.3B,5.85,2.5377
OPT-1.3B,5.8625,2.5667
OPT-1.3B,5.875,2.5655
OPT-1.3B,5.8875,2.5394
OPT-1.3B,5.9,2.5437
OPT-1.3B,5.9125,2.5393
OPT-1.3B,5.925,2.5708
OPT-1.3B,5.9375,2.5355
OPT-1.3B,5.95,2.5656
OPT-1.3B,5.9625,2.5401
OPT-1.3B,5.975,2.5418
OPT-1.3B,5.9875,2.478
OPT-1.3B,6.0,2.535
