model,epoch,loss
OPT-125M,10.05,2.7171
OPT-125M,10.1,2.7185
OPT-125M,10.15,2.7188
OPT-125M,10.2,2.7103
OPT-125M,10.25,2.712
OPT-125M,10.3,2.7158
OPT-125M,10.35,2.709
OPT-125M,10.4,2.6996
OPT-125M,10.45,2.6978
OPT-125M,10.5,2.7139
OPT-125M,10.55,2.7038
OPT-125M,10.6,2.6964
OPT-125M,10.65,2.718
OPT-125M,10.7,2.7116
OPT-125M,10.75,2.7101
OPT-125M,10.8,2.7091
OPT-125M,10.85,2.6962
OPT-125M,10.9,2.6926
OPT-125M,10.95,2.7069
OPT-125M,11.0,2.696
OPT-125M,11.05,2.6845
OPT-125M,11.1,2.6785
OPT-125M,11.15,2.6704
OPT-125M,11.2,2.6793
OPT-125M,11.25,2.6967
OPT-125M,11.3,2.6883
OPT-125M,11.35,2.6838
OPT-125M,11.4,2.6756
OPT-125M,11.45,2.6802
OPT-125M,11.5,2.6781
OPT-125M,11.55,2.6696
OPT-125M,11.6,2.6909
OPT-125M,11.65,2.6862
OPT-125M,11.7,2.6897
OPT-125M,11.75,2.6755
OPT-125M,11.8,2.6849
OPT-125M,11.85,2.6765
OPT-125M,11.9,2.6702
OPT-125M,11.95,2.6417
OPT-125M,12.0,2.6753
OPT-125M,12.05,2.6495
OPT-125M,12.1,2.6639
OPT-125M,12.15,2.6559
OPT-125M,12.2,2.6524
OPT-125M,12.25,2.6499
OPT-125M,12.3,2.6556
OPT-125M,12.35,2.6416
OPT-125M,12.4,2.6474
OPT-125M,12.45,2.6389
OPT-125M,12.5,2.6502
OPT-125M,12.55,2.6771
OPT-125M,12.6,2.656
OPT-125M,12.65,2.6587
OPT-125M,12.7,2.6637
OPT-125M,12.75,2.659
OPT-125M,12.8,2.6653
OPT-125M,12.85,2.6541
OPT-125M,12.9,2.6592
OPT-125M,12.95,2.6456
OPT-125M,13.0,2.6381
OPT-125M,13.05,2.6417
OPT-125M,13.1,2.6456
OPT-125M,13.15,2.652
OPT-125M,13.2,2.638
OPT-125M,13.25,2.6278
OPT-125M,13.3,2.6534
OPT-125M,13.35,2.6471
OPT-125M,13.4,2.612
OPT-125M,13.45,2.6396
OPT-125M,13.5,2.6293
OPT-125M,13.55,2.6265
OPT-125M,13.6,2.6439
OPT-125M,13.65,2.6171
OPT-125M,13.7,2.6447
OPT-125M,13.75,2.6149
OPT-125M,13.8,2.6231
OPT-125M,13.85,2.6328
OPT-125M,13.9,2.6205
OPT-125M,13.95,2.6161
OPT-125M,14.0,2.6407
OPT-125M,14.05,2.6311
OPT-125M,14.1,2.6367
OPT-125M,14.15,2.6175
OPT-125M,14.2,2.6064
OPT-125M,14.25,2.623
OPT-125M,14.3,2.6081
OPT-125M,14.35,2.6254
OPT-125M,14.4,2.6099
OPT-125M,14.45,2.6094
OPT-125M,14.5,2.6124
OPT-125M,14.55,2.6105
OPT-125M,14.6,2.6105
OPT-125M,14.65,2.6258
OPT-125M,14.7,2.6259
OPT-125M,14.75,2.5982
OPT-125M,14.8,2.6225
OPT-125M,14.85,2.6077
OPT-125M,14.9,2.5964
OPT-125M,14.95,2.6239
OPT-125M,15.0,2.6039
OPT-125M,15.05,2.6031
OPT-125M,15.1,2.6094
OPT-125M,15.15,2.6015
OPT-125M,15.2,2.6051
OPT-125M,15.25,2.5945
OPT-125M,15.3,2.5949
OPT-125M,15.35,2.6002
OPT-125M,15.4,2.6152
OPT-125M,15.45,2.5923
OPT-125M,15.5,2.613
OPT-125M,15.55,2.5672
OPT-125M,15.6,2.5892
OPT-125M,15.65,2.5952
OPT-125M,15.7,2.6002
OPT-125M,15.75,2.5955
OPT-125M,15.8,2.6048
OPT-125M,15.85,2.6114
