verb_up,frequency,predic,log_freq,log_predic
's up,185637,0.0040700907973352,12.131548432914254,-5.50001157468864
​sign up,187,0.06105125693764284,5.231108616854587,-2.733047101986351
’ll up,4,1.2760391744026e-4,1.3862943611198906,-8.966451874522859
’m up,58,0.00106351767639724,4.060443010546419,-6.845109218883591
’re up,53,0.00111602442619498,3.970291913552122,-6.79686588034587
’s up,1299,8.042098746324e-4,7.1693500166706,-7.124845751324951
’ve up,2,6.840413160954922e-5,0.6931471805599453,-9.590008925040337
= up,234367,7.670338220200538e-5,12.364643541790924,-9.475488047733291
° up,980,7.410503799319928e-5,6.887552571664617,-9.50995293107748
• up,3733,5.589762466091195e-5,8.224967478914584,-9.791932772168227
•set up,28,0.11666666666666668,3.332204510175204,-2.0243817644968085
absorb up,54980,0.0029449136178312,10.914724761719237,-5.82472653570676
absorbing up,8008,0.0014087170524601,8.988196320995057,-6.56366617044004
absorbs up,14304,0.00379883188044302,9.568294497413296,-5.569255593621944
accelerate up,33061,0.00245132749530695,10.406109618951431,-6.00867122942821
accelerated up,23371,0.00216247515735104,10.059251216519025,-6.134336990471358
accelerates up,10919,0.00429033450778244,9.298259670014065,-5.447091010838061
accelerating up,22762,0.00375893783996324,10.032847757841836,-5.57985283045847
accept up,80066,6.5999019749777e-4,11.290606573530575,-7.322625367243302
accepted up,55348,8.1987198573208e-4,10.921395803789276,-7.105542136589477
accepting up,12482,5.5189236250741e-4,9.432042885493988,-7.501605481447703
accepts up,32326,0.00246763660169355,10.383627138969754,-6.002023741591988
access up,131569,3.2329336046049e-4,11.787286707814165,-8.036627064588217
accessed up,7028,3.6611027420659e-4,8.857657449306988,-7.9122097969879706
accommodate up,1028973,0.03934035241240109,13.844071775404881,-3.195369410358125
accommodated up,7116,0.00259740070125438,8.870101048785726,-5.950643284506143
accommodates up,141620,0.06028204265969719,11.860902693205764,-2.74654552548188
accommodating up,81206,0.01494182594390126,11.304744415045533,-4.18853630867966
accommodation up,13230,4.9179457662471e-4,9.490242257109001,-7.616957540299019
accomodate up,21096,0.0210978566113818,9.956838728033123,-3.83726022893072
accomodates up,2784,0.05047867711053089,7.931644021454311,-2.9344069752866515
accompany up,5075,2.1673956305047e-4,8.532081803909987,-8.43659733242479
accomplish up,13930,2.5825598785881e-4,9.54180006677385,-8.2613009746039
accomplished up,12398,4.39500230314e-4,9.425290448261865,-7.729432719963927
account up,131077,3.4919149861638e-4,11.78354021576415,-7.959540827128932
accounts up,52744,6.358546251926e-4,10.873205300793135,-7.359904540626512
accrue up,8212,0.00424229869357657,9.013351778138825,-5.458398689160547
accrued up,9528,0.00330286067668432,9.161990111035136,-5.709657987142454
accumulate up,25489,0.00304041972559523,10.146002265529594,-5.7927146542726895
accumulated up,19321,0.00165119647434812,9.868947866261383,-6.404602556683406
ace up,105355,0.01361593512221127,11.565090878950908,-4.282804989892078
aces up,35001,0.01432425419831895,10.463131911491967,-4.231373244002705
achieve up,100116,8.096628697444e-4,11.514084792690074,-7.1180826163056325
achieved up,40061,6.3576673085274e-4,10.598158571464415,-7.360042868375249
achieves up,21461,0.00344349766042405,9.973992613421482,-5.667818122253403
achieving up,24770,8.8593318718952e-4,10.117388522483406,-7.02798269383734
acommodate up,316,0.03361702127659574,5.755742213586912,-3.358527689638537
acquire up,78857,0.00215979734052716,11.275391364608074,-6.1355787524512735
acquired up,21610,4.8487744436513e-4,9.980911449500931,-7.631129395954015
acquiring up,12818,8.199976035957e-4,9.458605712064172,-7.105388806168983
act up,266394,0.0014913729688361,12.492731694872212,-6.50656564153722
acted up,64734,0.00376269963439607,11.078041844779396,-5.578848794942774
acting up,586506,0.01075114601644694,13.281938177202367,-4.521933566722116
activate up,14768,8.3820093971815e-4,9.600217956742634,-7.083414148932909
acts up,116385,0.00219807453316908,11.66465893999616,-6.117973020190686
add up,7598054,0.01706133852740439,15.843402719837908,-4.053731719910233
added up,982400,0.00358715852603261,13.797753836375016,-5.626801279001013
adding up,1038874,0.00931665039911353,13.853647992275151,-4.666591792274944
address up,57866,2.4747975743374e-4,10.965885271736585,-8.303934257061265
addressed up,15712,4.0682285847328e-4,9.662180030594246,-7.8067257987979115
adds up,2470859,0.04451388558478685,14.720076421424402,-3.066419055191499
adjust up,56149,4.1115930690238e-4,10.935764150568996,-7.796118566677574
adjusted up,143021,0.00546750908992835,11.87074675160703,-5.203449632252978
adjusting up,10180,7.9689845243573e-4,9.228180290104513,-7.133986083398171
adjusts up,13603,0.00426983820568234,9.51804563563343,-5.451900363403627
administered up,13147,7.3333563517536e-4,9.483948874696605,-7.2171734637581295
admit up,28035,6.6901152002758e-4,10.241209008557773,-7.309040042804041
admits up,7256,6.7980462175327e-4,8.889583991794973,-7.293025086236079
adopted up,34786,7.5953852303142e-4,10.456970285968099,-7.182039688527494
advance up,70632,9.0555040783807e-4,11.165238578581418,-7.006061653011439
advanced up,37823,3.9390840127375e-4,10.540672662176004,-7.838998173768162
