Model,Parameter,Estimate,Est.Error,Q2.5,Q97.5,% > 0
OLMo-3 7B,Intercept,10.222272589361696,0.05273463097264289,10.119123491221604,10.32518846198205,100
OLMo-3 7B,c_log_freq,-0.5389755427348513,0.0428675264241261,-0.6224802105190483,-0.45515410841680953,0
OLMo-3 7B,Ic_log_freqE2,-0.026396091180938518,0.02471964531711184,-0.07365949828352462,0.021969290061889638,14.5
OLMo-3 7B,c_log_predic,-1.6966913248613844,0.04455529709813231,-1.7832652413012386,-1.6108862672829127,0
OLMo-3 7B,Ic_log_predicE2,0.10040112272673968,0.0313856817511952,0.03906534563088443,0.16233840914394254,100
OLMo-3 7B,c_log_freq:c_log_predic,0.009863726897928313,0.04791639532861906,-0.0833373390355114,0.10568090508663983,58.2
BabyLM 125M,Intercept,8.643552845736536,0.05273266553247568,8.538446844983781,8.744975302764072,100
BabyLM 125M,c_log_freq,-0.2753218192505815,0.03691798383751268,-0.34840846901197325,-0.20355447109660094,0
BabyLM 125M,Ic_log_freqE2,-0.05722861436828449,0.029429460612514526,-0.11456389439507582,0.001180840435819286,2.8
BabyLM 125M,c_log_ftp,-0.03809725015898842,0.03718084948237065,-0.11334019218440157,0.03410109561474285,15.4
BabyLM 125M,Ic_log_ftpE2,0.14094684814670527,0.023951326296408566,0.09444860919824656,0.18895312050194132,100
BabyLM 125M,c_log_freq:c_log_ftp,-0.16964750261072317,0.040921239400683276,-0.2523954428159943,-0.09193074759915995,0
BabyLM 350M,Intercept,8.413602183430177,0.05418099718505086,8.305697474732757,8.519528229105862,100
BabyLM 350M,c_log_freq,-0.2709656771511387,0.038484429060034964,-0.34559442800281054,-0.1942954018349681,0
BabyLM 350M,Ic_log_freqE2,-0.11534185151638594,0.02961275831060895,-0.1743314196411211,-0.057988623388628875,0
BabyLM 350M,c_log_ftp,7.428617652223291e-4,0.03767643028282937,-0.07271033683451351,0.07581237810157852,50.4
BabyLM 350M,Ic_log_ftpE2,0.12960887867169477,0.025266909839975104,0.07989451729479681,0.1783080004215639,100
BabyLM 350M,c_log_freq:c_log_ftp,-0.18491595031197125,0.041621428043136836,-0.2670812118628736,-0.10341261347501916,0
BabyLM 1.3B,Intercept,8.489640418318395,0.07111218886533194,8.350127527858508,8.627091127342366,100
BabyLM 1.3B,c_log_freq,-0.22234472585803222,0.04977533063130199,-0.32044095929128064,-0.12358545962825082,0
BabyLM 1.3B,Ic_log_freqE2,-0.16052984772680265,0.03965945735643999,-0.23933777600045067,-0.0819205326774395,0
BabyLM 1.3B,c_log_ftp,-0.13438161989442185,0.05072559104730599,-0.236538789683866,-0.03702556823099727,0.4
BabyLM 1.3B,Ic_log_ftpE2,0.2447837044631446,0.03292123636501875,0.18027768443283854,0.3088871877776708,100
BabyLM 1.3B,c_log_freq:c_log_ftp,-0.20448920297740938,0.0551052610110304,-0.312763410753648,-0.09693154085936936,0
