Model,Parameter,Estimate,Est.Error,Q2.5,Q97.5,% > 0
OLMo-3 7B,Intercept,12.291292737803294,0.0557992264564999,12.183464270537371,12.402100850592111,100
OLMo-3 7B,c_log_freq,-0.5258742378853675,0.0569912026110403,-0.6362011514766461,-0.41556512545523383,0
OLMo-3 7B,Ic_log_freqE2,0.0725479012058738,0.0359149662552428,0.001879231000765153,0.14266837742612232,97.8
OLMo-3 7B,c_log_ftp,-0.9685659098443564,0.04846112218716368,-1.0625410655965344,-0.8723914171267407,0
OLMo-3 7B,Ic_log_ftpE2,-0.03497480161194109,0.033951097541812476,-0.10098403406715359,0.031715348109912736,15.3
OLMo-3 7B,c_log_freq:c_log_ftp,-0.08997631818955516,0.05731911200881202,-0.20265782163176005,0.021910068858051666,5.7
BabyLM 125M,Intercept,11.719541066874532,0.10947402593552237,11.501741307125258,11.934070354561605,100
BabyLM 125M,c_log_freq,-0.417294799695293,0.07642863870444062,-0.5682469395370052,-0.2689404923474276,0
BabyLM 125M,Ic_log_freqE2,-0.22411664775840634,0.061772233872875185,-0.34427893231670675,-0.10475625231713766,0
BabyLM 125M,c_log_ftp,0.23062952057351016,0.07528616298754882,0.08483052098738145,0.38070790263232795,99.9
BabyLM 125M,Ic_log_ftpE2,0.24308898773496623,0.05086915889410969,0.14557520114435796,0.34292790423502084,100
BabyLM 125M,c_log_freq:c_log_ftp,-0.08110622062266339,0.08299510445609096,-0.24015124298375987,0.08493335172955331,16.5
BabyLM 350M,Intercept,11.293342350163412,0.10676984934870354,11.085150591269143,11.50798492570922,100
BabyLM 350M,c_log_freq,-0.37652641908525863,0.07332585937518037,-0.5193069573014524,-0.22914543594425593,0
BabyLM 350M,Ic_log_freqE2,-0.19398504299514294,0.058759378442126906,-0.3105427581475492,-0.0787963515977851,0
BabyLM 350M,c_log_ftp,0.2025724484529472,0.07619480349509687,0.05541609723337643,0.3523923462147009,99.6
BabyLM 350M,Ic_log_ftpE2,0.1264773664850468,0.04833052390170747,0.03309844504155577,0.22127578174589677,99.7
BabyLM 350M,c_log_freq:c_log_ftp,0.059045622390093075,0.07997021488113228,-0.09783960897567782,0.2156945829348532,76.7
BabyLM 1.3B,Intercept,9.721961824144373,0.08613270855638408,9.554952333890439,9.890909771840109,100
BabyLM 1.3B,c_log_freq,-0.2033352867698398,0.06114068673758284,-0.3240128427699727,-0.08410778215919372,0
BabyLM 1.3B,Ic_log_freqE2,-0.045097062751646454,0.04883936139385639,-0.14132524744493152,0.05138806367412203,17.9
BabyLM 1.3B,c_log_ftp,-0.18689388201510848,0.06052319628001683,-0.30683382124047714,-0.0682078622252654,0.1
BabyLM 1.3B,Ic_log_ftpE2,0.23943905879039173,0.0395522653238429,0.16140374378528666,0.3175681686830653,100
BabyLM 1.3B,c_log_freq:c_log_ftp,-0.12818643203973168,0.06675467363475247,-0.26220591774686136,3.0008417395421945e-5,2.5
