Model,Predictor,edf,f_stat,p_value
OLMo-3 7B,Frequency,23.334960124914687,39583.61937571429,0
BabyLM 125M,Frequency,15.320545493443477,16281.020642655514,0
BabyLM 350M,Frequency,21.02225434257102,39055.62583497596,0
BabyLM 1.3B,Frequency,16.75878811765382,29336.45066855938,0
OLMo-3 7B,Predictability,23.403658248623945,45016.89118735,0
BabyLM 125M,Predictability,21.9975539074122,12479.546979740533,0
BabyLM 350M,Predictability,22.55851505378394,35627.86315675438,0
BabyLM 1.3B,Predictability,22.392589429478857,23854.742927506806,0
