verb_up,frequency,predic,log_freq,log_predic,r,vif
act up,32,0.0038722168441432,3.4657359027997265,-5.550048374714177,0.25246510850814524,1.0680778179313992
acting up,51,0.0143298679404327,3.9318256327243257,-4.2309757207677485,0.25246510850814524,1.0680778179313992
add up,181,0.0037016585884614,5.198497031265826,-5.595265765941192,0.25246510850814524,1.0680778179313992
added up,41,0.0044262118104285,3.713572066704308,-5.415775146062363,0.25246510850814524,1.0680778179313992
adding up,71,0.0535041446872645,4.2626798770413155,-2.873007469986829,0.25246510850814524,1.0680778179313992
adds up,59,0.0895295902883156,4.07753744390572,-2.319392211310427,0.25246510850814524,1.0680778179313992
allowed up,15,0.0019352341633337,2.70805020110221,-6.245589836030953,0.25246510850814524,1.0680778179313992
ante up,13,0.0849673202614379,2.5649493574615367,-2.3766930651477676,0.25246510850814524,1.0680778179313992
arm up,18,0.0017287744909719,2.8903717578961645,-6.358612237672254,0.25246510850814524,1.0680778179313992
ate up,103,0.0134887375589313,4.634728988229636,-4.292319659596065,0.25246510850814524,1.0680778179313992
back up,157,0.0010691618316036,5.056245805348308,-6.839810538632536,0.25246510850814524,1.0680778179313992
backed up,127,0.1475029036004645,4.844187086458591,-1.7543219421559249,0.25246510850814524,1.0680778179313992
backing up,77,0.1336805555555555,4.343805421853684,-1.8688006738978353,0.25246510850814524,1.0680778179313992
backs up,46,0.0382059800664451,3.828641396489095,-3.2258082616438477,0.25246510850814524,1.0680778179313992
bandaged up,12,0.0705882352941176,2.4849066497880004,-2.577688383238967,0.25246510850814524,1.0680778179313992
bang up,10,0.0018733608092918,2.302585092994046,-6.278146119226217,0.25246510850814524,1.0680778179313992
banged up,29,0.0506993006993006,3.367295829986474,-2.9298134899474633,0.25246510850814524,1.0680778179313992
barking up,23,0.0156037991858887,3.1354942159291497,-4.144514036955041,0.25246510850814524,1.0680778179313992
batter up,11,0.0202578268876611,2.3978952727983707,-3.878748216543276,0.25246510850814524,1.0680778179313992
be up,13,3.109690753214942e-5,2.5649493574615367,-10.37837108259744,0.25246510850814524,1.0680778179313992
