Model,Parameter,Estimate,Est.Error,Q2.5,Q97.5,% > 0
Encoder,Intercept,12.477820296751558,0.08214280402941371,12.316438125954582,12.635545889920648,100
Encoder,c_log_freq,-0.31790561021174785,0.06133422579292224,-0.43665370848601254,-0.19775943257862325,0
Encoder,Ic_log_freqE2,0.06214580937050292,0.04623404920300421,-0.028445603980654672,0.1531604511937921,90.9
Encoder,c_log_predic,0.3733709158913308,0.0643665552532044,0.24717188908378018,0.500707109727838,100
Encoder,Ic_log_predicE2,-0.07991282222184884,0.041206561110168745,-0.16026131162217397,2.4131245216259535e-4,2.5
Encoder,c_log_freq:c_log_predic,-0.029980811773733778,0.07397536375658022,-0.17440064496261587,0.11620391673897311,33.9
Decoder,Intercept,9.29412253117315,0.02171493303862787,9.251335958450511,9.336640877653235,100
Decoder,c_log_freq,0.053634883789540094,0.016226104698160486,0.02208993239429495,0.08531555952753576,100
Decoder,Ic_log_freqE2,-0.031043062319999322,0.01186581857683695,-0.054351762986107645,-0.00755667516338661,0.5
Decoder,c_log_predic,-0.07075676134991954,0.017120093977662027,-0.10416066860746295,-0.03705334191542013,0
Decoder,Ic_log_predicE2,-0.02723087046798647,0.010621691676141822,-0.04818433952544136,-0.006700630377958125,0.5
Decoder,c_log_freq:c_log_predic,0.02287238561898789,0.01920580992566287,-0.015052251040656875,0.05980156916289188,88.3
