Model,Parameter,Estimate,Est.Error,Q2.5,Q97.5,% > 0
Encoder,Intercept,11.975816778416666,0.048756834106261346,11.88146385,12.07206815,100
Encoder,c_log_freq,0.19295587498833333,0.04567532669931333,0.10122276025,0.28025779049999994,100
Encoder,c_log_predic,-0.1376317101637575,0.049526609026685466,-0.23483004475,-0.04074014832500002,0.3
Encoder,c_duration,-0.10372665750084167,0.027480388461287676,-0.1571292285,-0.050010051575000006,0
Encoder,c_log_freq:c_log_predic,-0.02598131087421199,0.04512529325679951,-0.113838365,0.06271253775,28.2
Decoder,Intercept,9.046922825941667,0.08585622999979765,8.879205215,9.2117045325,100
Decoder,c_log_freq,0.053652497673300666,0.08272931407496062,-0.10626522799999999,0.2151495912499999,74.1
Decoder,c_log_predic,-0.7754121718091667,0.08866576126204861,-0.94946974375,-0.600053269,0
Decoder,c_duration,0.08310483474138687,0.04498103781507959,-0.005411458014999998,0.16991008749999997,96.7
Decoder,c_log_freq:c_log_predic,-0.120863053386728,0.0794275164927557,-0.27630418100000004,0.036105828674999986,6.8
