component,verb_up,frequency,predic,log_freq,log_predic,r,vif
encoder,built up,6919315,0.03419863253016615,15.749827334254867,-3.3407725305607348,0.306847430018338,1.1039420443905608
encoder,bulk up,467517,0.01468362077949194,13.055190990686102,-4.206230146899171,0.306847430018338,1.1039420443905608
encoder,bulked up,149864,0.5724566543540458,11.917483495140894,0.291881343082601,0.306847430018338,1.1039420443905608
encoder,bump up,648459,0.03347530133160624,13.382354057918093,-3.3628989598467527,0.306847430018338,1.1039420443905608
encoder,bumped up,485186,0.13063704900376952,13.092287601554954,-1.8953378435532868,0.306847430018338,1.1039420443905608
encoder,bumping up,216639,0.09495126405768632,12.28598765274266,-2.254625044073087,0.306847430018338,1.1039420443905608
encoder,bunch up,134766,0.0027268553734111,11.81129522012685,-5.901875631561755,0.306847430018338,1.1039420443905608
encoder,bunched up,197683,0.3565665657179653,12.194420016589424,-0.5902976359255846,0.306847430018338,1.1039420443905608
encoder,bundle up,276834,0.01463995991851282,12.531173327552317,-4.20925232658731,0.306847430018338,1.1039420443905608
encoder,bundled up,442546,0.09238196273625927,13.000299692829454,-2.2848918751810596,0.306847430018338,1.1039420443905608
encoder,buoyed up,44298,0.04783594661137748,10.69869480828722,-2.9909599669034606,0.306847430018338,1.1039420443905608
encoder,buried up,43720,0.00209146694879465,10.685560942290476,-6.1677959127190265,0.306847430018338,1.1039420443905608
encoder,burn up,601387,0.007402282253942,13.306993933074132,-4.898537098526598,0.306847430018338,1.1039420443905608
encoder,burned up,312715,0.01563532550091265,12.65304751159509,-4.142463623133714,0.306847430018338,1.1039420443905608
encoder,burning up,404381,0.0119489442889459,12.910112781839743,-4.41509144177993,0.306847430018338,1.1039420443905608
encoder,burns up,119044,0.01171958911146565,11.687248451652916,-4.434704749382701,0.306847430018338,1.1039420443905608
encoder,burnt up,86820,0.00939055391613246,11.371592288853584,-4.658616074344518,0.306847430018338,1.1039420443905608
encoder,burst up,42875,0.00154050059604348,10.666044184468241,-6.4741061646249225,0.306847430018338,1.1039420443905608
encoder,bust up,90547,0.00452384402088381,11.413624331895797,-5.393859091896305,0.306847430018338,1.1039420443905608
encoder,busted up,106837,0.03087348940622925,11.579059587458643,-3.446497293619948,0.306847430018338,1.1039420443905608
encoder,button up,332487,0.00294917299427972,12.714356040569347,-5.823276958481224,0.306847430018338,1.1039420443905608
encoder,buttoned up,184876,0.2539170658814222,12.127440609058647,-1.07782906434143,0.306847430018338,1.1039420443905608
encoder,buy up,709063,0.0019527736365427,13.471699659112506,-6.236549856528439,0.306847430018338,1.1039420443905608
encoder,buying up,635091,0.00597815004612446,13.361523574693964,-5.113648024993453,0.306847430018338,1.1039420443905608
encoder,call up,1465110,0.00404587588206278,14.197440882938775,-5.506003134828461,0.306847430018338,1.1039420443905608
encoder,called up,2302870,0.00555772754112386,14.649666729098408,-5.1869927407204415,0.306847430018338,1.1039420443905608
encoder,calling up,321160,0.00401408599720546,12.67969472029862,-5.5139234404562085,0.306847430018338,1.1039420443905608
encoder,calls up,210555,0.00192327703497882,12.257502180636536,-6.251799629893086,0.306847430018338,1.1039420443905608
encoder,came up,23263138,0.06149619093853675,16.962380605671544,-2.7253116777523645,0.306847430018338,1.1039420443905608
encoder,carried up,169101,0.00197001179798255,12.038251448529742,-6.227743792603044,0.306847430018338,1.1039420443905608
encoder,carries up,69207,0.00259601936944716,11.144857292559195,-5.951176624030981,0.306847430018338,1.1039420443905608
encoder,carry up,456626,0.00405013957595253,13.031619954076023,-5.504945571654978,0.306847430018338,1.1039420443905608
