c_log_freq,c_log_predic,label,freq_mean,freq_sd,predic_mean,predic_sd,fit,q025,q975
-3.363638290775224,-3.4404049090920457,Encoder — final layer,0,1,0,1,11.499628876035542,10.524210803816347,12.47013674554072
-3.195540178109396,-3.4404049090920457,Encoder — final layer,0,1,0,1,11.547090050922142,10.622342972817195,12.466468423000356
-3.0274420654435685,-3.4404049090920457,Encoder — final layer,0,1,0,1,11.594551225808742,10.719910111437237,12.466688199209491
-2.8593439527777407,-3.4404049090920457,Encoder — final layer,0,1,0,1,11.642012400695343,10.812761341564894,12.466146631757736
-2.691245840111913,-3.4404049090920457,Encoder — final layer,0,1,0,1,11.689473575581943,10.910593915905014,12.467369682832196
-2.5231477274460854,-3.4404049090920457,Encoder — final layer,0,1,0,1,11.736934750468544,11.004367554157854,12.470716828566818
-2.3550496147802575,-3.4404049090920457,Encoder — final layer,0,1,0,1,11.784395925355144,11.09729075655652,12.470713714708474
-2.1869515021144297,-3.4404049090920457,Encoder — final layer,0,1,0,1,11.831857100241745,11.187768008932377,12.472423592589243
-2.0188533894486023,-3.4404049090920457,Encoder — final layer,0,1,0,1,11.879318275128345,11.284277287919839,12.474579702004666
-1.8507552767827744,-3.4404049090920457,Encoder — final layer,0,1,0,1,11.926779450014944,11.375374087153963,12.477375619851966
-1.6826571641169463,-3.4404049090920457,Encoder — final layer,0,1,0,1,11.974240624901546,11.471259490780808,12.482692562173455
-1.514559051451119,-3.4404049090920457,Encoder — final layer,0,1,0,1,12.021701799788145,11.555742821488048,12.48979583194615
-1.3464609387852913,-3.4404049090920457,Encoder — final layer,0,1,0,1,12.069162974674747,11.640763775745018,12.500744343827915
-1.1783628261194634,-3.4404049090920457,Encoder — final layer,0,1,0,1,12.116624149561346,11.718530006354648,12.514525572582407
-1.0102647134536356,-3.4404049090920457,Encoder — final layer,0,1,0,1,12.164085324447948,11.793470306591763,12.537100481513846
-0.8421666007878081,-3.4404049090920457,Encoder — final layer,0,1,0,1,12.211546499334547,11.865268690270517,12.563527014165986
-0.6740684881219803,-3.4404049090920457,Encoder — final layer,0,1,0,1,12.259007674221147,11.93114855707314,12.596193323402897
-0.5059703754561524,-3.4404049090920457,Encoder — final layer,0,1,0,1,12.306468849107748,11.98597980519221,12.634923880850486
-0.337872262790325,-3.4404049090920457,Encoder — final layer,0,1,0,1,12.353930023994348,12.02904805098638,12.681773576722136
-0.16977415012449715,-3.4404049090920457,Encoder — final layer,0,1,0,1,12.40139119888095,12.063475378274603,12.736833455021445
-0.00167603745866928,-3.4404049090920457,Encoder — final layer,0,1,0,1,12.448852373767549,12.08984081141107,12.80111779275861
0,-3.4404049090920457,Encoder — final layer,0,1,0,1,12.449325589710792,12.089980515279985,12.801918337341222
0.16642207520715813,-3.4404049090920457,Encoder — final layer,0,1,0,1,12.49631354865415,12.111333877799568,12.875617982367212
0.334520187872986,-3.4404049090920457,Encoder — final layer,0,1,0,1,12.54377472354075,12.132597248589008,12.952872742519952
0.5026183005388138,-3.4404049090920457,Encoder — final layer,0,1,0,1,12.591235898427351,12.144040532456396,13.037332592090278
0.6707164132046413,-3.4404049090920457,Encoder — final layer,0,1,0,1,12.638697073313951,12.155260781580372,13.122401965315323
0.8388145258704696,-3.4404049090920457,Encoder — final layer,0,1,0,1,12.68615824820055,12.164078495218941,13.211723089465515
1.006912638536297,-3.4404049090920457,Encoder — final layer,0,1,0,1,12.733619423087152,12.16595746393706,13.304656477255653
1.1750107512021244,-3.4404049090920457,Encoder — final layer,0,1,0,1,12.781080597973752,12.166819345381443,13.401065785675057
1.3431088638679527,-3.4404049090920457,Encoder — final layer,0,1,0,1,12.828541772860353,12.16795033016497,13.494753624662808
1.5112069765337801,-3.4404049090920457,Encoder — final layer,0,1,0,1,12.876002947746953,12.167553593558349,13.59034868740438
1.6793050891996075,-3.4404049090920457,Encoder — final layer,0,1,0,1,12.923464122633554,12.167512450513415,13.684158164928364
1.847403201865436,-3.4404049090920457,Encoder — final layer,0,1,0,1,12.970925297520154,12.16319995583174,13.780228742007177
2.0155013145312632,-3.4404049090920457,Encoder — final layer,0,1,0,1,13.018386472406753,12.161933433949844,13.879510737418414
2.1835994271970907,-3.4404049090920457,Encoder — final layer,0,1,0,1,13.065847647293355,12.16202399009829,13.973819349038159
2.351697539862919,-3.4404049090920457,Encoder — final layer,0,1,0,1,13.113308822179954,12.157843709786482,14.070332626036388
2.5197956525287464,-3.4404049090920457,Encoder — final layer,0,1,0,1,13.160769997066556,12.15825503370719,14.17051094054174
2.687893765194574,-3.4404049090920457,Encoder — final layer,0,1,0,1,13.208231171953155,12.154772475300154,14.26688191450128
2.855991877860402,-3.4404049090920457,Encoder — final layer,0,1,0,1,13.255692346839757,12.15427318441577,14.367794717707865
3.0240899905262295,-3.4404049090920457,Encoder — final layer,0,1,0,1,13.303153521726356,12.1498262191846,14.467004730786714
3.192188103192057,-3.4404049090920457,Encoder — final layer,0,1,0,1,13.350614696612956,12.149413090560143,14.566263389798753
3.360286215857885,-3.4404049090920457,Encoder — final layer,0,1,0,1,13.398075871499557,12.14503621512572,14.666054969825309
-3.363638290775224,-3.270506226457446,Encoder — final layer,0,1,0,1,11.491093169947094,10.565104411725391,12.414502852513516
-3.195540178109396,-3.270506226457446,Encoder — final layer,0,1,0,1,11.537812327743268,10.656977414476918,12.418898535719283
-3.0274420654435685,-3.270506226457446,Encoder — final layer,0,1,0,1,11.584531485539443,10.753247336882305,12.416189287562773
-2.8593439527777407,-3.270506226457446,Encoder — final layer,0,1,0,1,11.631250643335619,10.84467425202741,12.417042636603517
-2.691245840111913,-3.270506226457446,Encoder — final layer,0,1,0,1,11.677969801131793,10.935094781534097,12.417542969367219
-2.5231477274460854,-3.270506226457446,Encoder — final layer,0,1,0,1,11.724688958927969,11.02665200782733,12.422463846553356
-2.3550496147802575,-3.270506226457446,Encoder — final layer,0,1,0,1,11.771408116724142,11.11503600083394,12.424750018423072
-2.1869515021144297,-3.270506226457446,Encoder — final layer,0,1,0,1,11.818127274520318,11.204788728909248,12.428018894101546
-2.0188533894486023,-3.270506226457446,Encoder — final layer,0,1,0,1,11.864846432316492,11.297506328349296,12.431397902089993
-1.8507552767827744,-3.270506226457446,Encoder — final layer,0,1,0,1,11.911565590112668,11.3866902965651,12.435380272676335
-1.6826571641169463,-3.270506226457446,Encoder — final layer,0,1,0,1,11.958284747908843,11.479061472644688,12.442400818493377
-1.514559051451119,-3.270506226457446,Encoder — final layer,0,1,0,1,12.005003905705017,11.562230473253358,12.449854208935086
-1.3464609387852913,-3.270506226457446,Encoder — final layer,0,1,0,1,12.051723063501193,11.643806359945463,12.461749893942889
-1.1783628261194634,-3.270506226457446,Encoder — final layer,0,1,0,1,12.098442221297368,11.720144700867209,12.478622132953827
-1.0102647134536356,-3.270506226457446,Encoder — final layer,0,1,0,1,12.145161379093542,11.793346799856065,12.499759943447101
-0.8421666007878081,-3.270506226457446,Encoder — final layer,0,1,0,1,12.191880536889718,11.8627139781152,12.527165191444718
-0.6740684881219803,-3.270506226457446,Encoder — final layer,0,1,0,1,12.238599694685892,11.925932058544621,12.55907129513241
-0.5059703754561524,-3.270506226457446,Encoder — final layer,0,1,0,1,12.285318852482067,11.979493233623392,12.597609526707599
-0.337872262790325,-3.270506226457446,Encoder — final layer,0,1,0,1,12.332038010278241,12.022285731884857,12.6446000536456
-0.16977415012449715,-3.270506226457446,Encoder — final layer,0,1,0,1,12.378757168074417,12.0563906366381,12.69837932575771
-0.00167603745866928,-3.270506226457446,Encoder — final layer,0,1,0,1,12.425476325870592,12.081994408738474,12.761856500416679
0,-3.270506226457446,Encoder — final layer,0,1,0,1,12.425942143465223,12.082154003371395,12.762708321514376
0.16642207520715813,-3.270506226457446,Encoder — final layer,0,1,0,1,12.472195483666766,12.104601558253957,12.834250689248965
0.334520187872986,-3.270506226457446,Encoder — final layer,0,1,0,1,12.518914641462942,12.124996594751712,12.909290023341269
0.5026183005388138,-3.270506226457446,Encoder — final layer,0,1,0,1,12.565633799259116,12.139294226309438,12.992224655905751
0.6707164132046413,-3.270506226457446,Encoder — final layer,0,1,0,1,12.612352957055291,12.15015184407257,13.074549245639307
0.8388145258704696,-3.270506226457446,Encoder — final layer,0,1,0,1,12.659072114851467,12.160002754584628,13.160607022174304
1.006912638536297,-3.270506226457446,Encoder — final layer,0,1,0,1,12.705791272647641,12.162058252241177,13.251285652946915
1.1750107512021244,-3.270506226457446,Encoder — final layer,0,1,0,1,12.752510430443817,12.164885795023565,13.344206652960713
1.3431088638679527,-3.270506226457446,Encoder — final layer,0,1,0,1,12.79922958823999,12.168054551239008,13.436459987630682
1.5112069765337801,-3.270506226457446,Encoder — final layer,0,1,0,1,12.845948746036166,12.168661827425716,13.529376308067702
1.6793050891996075,-3.270506226457446,Encoder — final layer,0,1,0,1,12.892667903832342,12.170037143948344,13.619690438141658
1.847403201865436,-3.270506226457446,Encoder — final layer,0,1,0,1,12.939387061628516,12.170234546895498,13.714578334998336
2.0155013145312632,-3.270506226457446,Encoder — final layer,0,1,0,1,12.986106219424691,12.16863036683795,13.809053285042719
2.1835994271970907,-3.270506226457446,Encoder — final layer,0,1,0,1,13.032825377220865,12.170473781232909,13.899919403676437
2.351697539862919,-3.270506226457446,Encoder — final layer,0,1,0,1,13.07954453501704,12.167763986920574,13.995352793127067
2.5197956525287464,-3.270506226457446,Encoder — final layer,0,1,0,1,13.126263692813216,12.168002791399648,14.089299632274862
2.687893765194574,-3.270506226457446,Encoder — final layer,0,1,0,1,13.17298285060939,12.165443125754557,14.183590167468209
2.855991877860402,-3.270506226457446,Encoder — final layer,0,1,0,1,13.219702008405566,12.164524660068468,14.280202224148493
3.0240899905262295,-3.270506226457446,Encoder — final layer,0,1,0,1,13.26642116620174,12.165439238156704,14.376520415418048
3.192188103192057,-3.270506226457446,Encoder — final layer,0,1,0,1,13.313140323997915,12.164431607555947,14.476703405433193
3.360286215857885,-3.270506226457446,Encoder — final layer,0,1,0,1,13.359859481794091,12.160761171383516,14.575287709744865
-3.363638290775224,-3.1006075438228464,Encoder — final layer,0,1,0,1,11.482557463858646,10.6009648429838,12.364190944920706
-3.195540178109396,-3.1006075438228464,Encoder — final layer,0,1,0,1,11.528534604564395,10.692080125723873,12.366375464000381
-3.0274420654435685,-3.1006075438228464,Encoder — final layer,0,1,0,1,11.574511745270145,10.785146674802643,12.36808701551221
-2.8593439527777407,-3.1006075438228464,Encoder — final layer,0,1,0,1,11.620488885975893,10.87574943711027,12.366866030427815
-2.691245840111913,-3.1006075438228464,Encoder — final layer,0,1,0,1,11.666466026681643,10.96022317322365,12.368491809739796
-2.5231477274460854,-3.1006075438228464,Encoder — final layer,0,1,0,1,11.712443167387393,11.047620797267163,12.373790653935512
-2.3550496147802575,-3.1006075438228464,Encoder — final layer,0,1,0,1,11.758420308093143,11.135627653080556,12.37911979852145
-2.1869515021144297,-3.1006075438228464,Encoder — final layer,0,1,0,1,11.804397448798891,11.221889293048916,12.382984287360495
-2.0188533894486023,-3.1006075438228464,Encoder — final layer,0,1,0,1,11.850374589504641,11.308863321015885,12.387819893909272
-1.8507552767827744,-3.1006075438228464,Encoder — final layer,0,1,0,1,11.896351730210391,11.397011004322422,12.3947677335095
-1.6826571641169463,-3.1006075438228464,Encoder — final layer,0,1,0,1,11.94232887091614,11.48616849367278,12.40092737127589
-1.514559051451119,-3.1006075438228464,Encoder — final layer,0,1,0,1,11.988306011621889,11.569567953336664,12.410659010147048
-1.3464609387852913,-3.1006075438228464,Encoder — final layer,0,1,0,1,12.034283152327639,11.647160091863846,12.423724764673546
-1.1783628261194634,-3.1006075438228464,Encoder — final layer,0,1,0,1,12.080260293033389,11.720859041094625,12.441236892162618
-1.0102647134536356,-3.1006075438228464,Encoder — final layer,0,1,0,1,12.126237433739139,11.792925335190635,12.462369005738333
-0.8421666007878081,-3.1006075438228464,Encoder — final layer,0,1,0,1,12.172214574444887,11.860178407258944,12.490512242577731
-0.6740684881219803,-3.1006075438228464,Encoder — final layer,0,1,0,1,12.218191715150637,11.922241332421313,12.522364634685417
-0.5059703754561524,-3.1006075438228464,Encoder — final layer,0,1,0,1,12.264168855856386,11.973140515325216,12.560202261135199
-0.337872262790325,-3.1006075438228464,Encoder — final layer,0,1,0,1,12.310145996562136,12.014580875127264,12.608218462608601
-0.16977415012449715,-3.1006075438228464,Encoder — final layer,0,1,0,1,12.356123137267884,12.049205379156945,12.661047899009382
-0.00167603745866928,-3.1006075438228464,Encoder — final layer,0,1,0,1,12.402100277973634,12.07479116144544,12.722382145721257
0,-3.1006075438228464,Encoder — final layer,0,1,0,1,12.402558697219654,12.074996320121581,12.723490294754464
0.16642207520715813,-3.1006075438228464,Encoder — final layer,0,1,0,1,12.448077418679384,12.098227334745257,12.791673342318147
0.334520187872986,-3.1006075438228464,Encoder — final layer,0,1,0,1,12.494054559385134,12.117784636784867,12.867478687042327
0.5026183005388138,-3.1006075438228464,Encoder — final layer,0,1,0,1,12.540031700090882,12.133518297935275,12.946156154123008
0.6707164132046413,-3.1006075438228464,Encoder — final layer,0,1,0,1,12.586008840796632,12.14587078736374,13.028307290971275
0.8388145258704696,-3.1006075438228464,Encoder — final layer,0,1,0,1,12.631985981502382,12.155308922888318,13.111055262482141
1.006912638536297,-3.1006075438228464,Encoder — final layer,0,1,0,1,12.677963122208132,12.158850817694919,13.197529665903092
1.1750107512021244,-3.1006075438228464,Encoder — final layer,0,1,0,1,12.72394026291388,12.163829723941728,13.288504304686178
1.3431088638679527,-3.1006075438228464,Encoder — final layer,0,1,0,1,12.76991740361963,12.16736988556233,13.378919441936839
1.5112069765337801,-3.1006075438228464,Encoder — final layer,0,1,0,1,12.81589454432538,12.169276737856915,13.46777070792393
1.6793050891996075,-3.1006075438228464,Encoder — final layer,0,1,0,1,12.86187168503113,12.172353445768618,13.554699229017395
1.847403201865436,-3.1006075438228464,Encoder — final layer,0,1,0,1,12.90784882573688,12.171539302863886,13.646117445019613
2.0155013145312632,-3.1006075438228464,Encoder — final layer,0,1,0,1,12.953825966442627,12.175054777461586,13.73651511681165
2.1835994271970907,-3.1006075438228464,Encoder — final layer,0,1,0,1,12.999803107148377,12.175130743292288,13.82723985809803
2.351697539862919,-3.1006075438228464,Encoder — final layer,0,1,0,1,13.045780247854127,12.175814104439919,13.919168723770031
2.5197956525287464,-3.1006075438228464,Encoder — final layer,0,1,0,1,13.091757388559875,12.175205787171073,14.01060147799154
2.687893765194574,-3.1006075438228464,Encoder — final layer,0,1,0,1,13.137734529265625,12.17689987864293,14.102194965044468
2.855991877860402,-3.1006075438228464,Encoder — final layer,0,1,0,1,13.183711669971375,12.177488298501977,14.192887127172341
3.0240899905262295,-3.1006075438228464,Encoder — final layer,0,1,0,1,13.229688810677125,12.178765436632256,14.287740299609787
3.192188103192057,-3.1006075438228464,Encoder — final layer,0,1,0,1,13.275665951382873,12.178701527806112,14.38315732539095
3.360286215857885,-3.1006075438228464,Encoder — final layer,0,1,0,1,13.321643092088623,12.177821972578885,14.480586820700662
-3.363638290775224,-2.930708861188247,Encoder — final layer,0,1,0,1,11.474021757770197,10.638477921427505,12.307246500812662
-3.195540178109396,-2.930708861188247,Encoder — final layer,0,1,0,1,11.519256881385521,10.726824011270695,12.31387389411939
-3.0274420654435685,-2.930708861188247,Encoder — final layer,0,1,0,1,11.564492005000846,10.8154064981503,12.31614251244749
-2.8593439527777407,-2.930708861188247,Encoder — final layer,0,1,0,1,11.60972712861617,10.90021759284261,12.321083701112997
-2.691245840111913,-2.930708861188247,Encoder — final layer,0,1,0,1,11.654962252231494,10.98472623069517,12.32266728239627
-2.5231477274460854,-2.930708861188247,Encoder — final layer,0,1,0,1,11.700197375846818,11.068954848057654,12.327718273050724
-2.3550496147802575,-2.930708861188247,Encoder — final layer,0,1,0,1,11.745432499462142,11.154266853239005,12.332132993198469
-2.1869515021144297,-2.930708861188247,Encoder — final layer,0,1,0,1,11.790667623077466,11.237578360441871,12.337117564162
-2.0188533894486023,-2.930708861188247,Encoder — final layer,0,1,0,1,11.83590274669279,11.324157984681554,12.343593482766927
-1.8507552767827744,-2.930708861188247,Encoder — final layer,0,1,0,1,11.881137870308114,11.409495814979687,12.35209194602939
-1.6826571641169463,-2.930708861188247,Encoder — final layer,0,1,0,1,11.926372993923438,11.493806752309245,12.360969562865353
-1.514559051451119,-2.930708861188247,Encoder — final layer,0,1,0,1,11.97160811753876,11.574785791942306,12.370483872393834
-1.3464609387852913,-2.930708861188247,Encoder — final layer,0,1,0,1,12.016843241154085,11.649446951346707,12.385718735242124
-1.1783628261194634,-2.930708861188247,Encoder — final layer,0,1,0,1,12.062078364769409,11.72114112642734,12.403093167513264
-1.0102647134536356,-2.930708861188247,Encoder — final layer,0,1,0,1,12.107313488384733,11.792734364183366,12.425231316178538
-0.8421666007878081,-2.930708861188247,Encoder — final layer,0,1,0,1,12.152548612000057,11.856904768982263,12.45399144591124
-0.6740684881219803,-2.930708861188247,Encoder — final layer,0,1,0,1,12.197783735615381,11.916970869091141,12.48541379881537
-0.5059703754561524,-2.930708861188247,Encoder — final layer,0,1,0,1,12.243018859230705,11.965901851752216,12.523310185771457
-0.337872262790325,-2.930708861188247,Encoder — final layer,0,1,0,1,12.28825398284603,12.007294806576924,12.570875607867963
-0.16977415012449715,-2.930708861188247,Encoder — final layer,0,1,0,1,12.333489106461354,12.041525169621769,12.623851557654923
-0.00167603745866928,-2.930708861188247,Encoder — final layer,0,1,0,1,12.378724230076678,12.067416082121705,12.68324328541072
0,-2.930708861188247,Encoder — final layer,0,1,0,1,12.379175250974082,12.067716413577296,12.683657140899907
