Model,Parameter,Estimate,Est.Error,Q2.5,Q97.5,% > 0
OLMo-3 7B,Intercept,10.745016927916666,0.050344951675366484,10.644574675,10.843994725,100
OLMo-3 7B,c_log_freq,-0.8439493223058333,0.05274778921055198,-0.949999387,-0.7412236305000001,0
OLMo-3 7B,c_log_predic,-2.0028848328333333,0.04962520904147721,-2.100175665,-1.9076707125,0
OLMo-3 7B,c_log_freq:c_log_predic,-0.0518511952944855,0.049478937493068635,-0.14826418025,0.046010045174999965,14.6
BabyLM 125M,Intercept,11.6318995355,0.07968306914374651,11.474259,11.791206425,100
BabyLM 125M,c_log_freq,-0.75768800211,0.08289864069951307,-0.9205417379999999,-0.5905938452500001,0
BabyLM 125M,c_log_predic,-0.092066241994166,0.08257782307730793,-0.25269041175,0.07026610864999988,13
BabyLM 125M,c_log_freq:c_log_predic,-0.295248992562075,0.08122144207137927,-0.455819814,-0.13381557750000003,0
BabyLM 350M,Intercept,7.012748507958333,0.08856832619678999,6.8400630875,7.187587337499999,100
BabyLM 350M,c_log_freq,-0.7140051707533334,0.09140936950014018,-0.8910543409999999,-0.5330607725,0
BabyLM 350M,c_log_predic,-0.8676987839891667,0.09092712589770481,-1.0479466425,-0.6849187555,0
BabyLM 350M,c_log_freq:c_log_predic,-0.19158792406638916,0.09026396496192897,-0.36779676099999997,-0.011951154425000002,1.7
BabyLM 1.3B,Intercept,10.148049494216666,0.05311114547935027,10.042701675,10.250299625,100
BabyLM 1.3B,c_log_freq,-0.8407134407733333,0.05381212537708053,-0.9452366225,-0.7350985955,0
BabyLM 1.3B,c_log_predic,0.14286334336127415,0.054393280116196006,0.036584318525,0.252327758,99.6
BabyLM 1.3B,c_log_freq:c_log_predic,-0.027456748540771066,0.05374139020407571,-0.13380162799999998,0.07685229472499995,30.4
