verb_up,frequency,predic,log_freq,log_predic,r,vif
's up,185637,0.0040700907973352,12.131548432914254,-5.50001157468864,0.33718249055673205,1.1282759898758947
​sign up,187,0.0610512569376428,5.231108616854587,-2.733047101986351,0.33718249055673205,1.1282759898758947
’ll up,4,1.276039174402e-4,1.3862943611198906,-8.96645187452333,0.33718249055673205,1.1282759898758947
’m up,58,0.0010635176763972,4.060443010546419,-6.845109218883629,0.33718249055673205,1.1282759898758947
’re up,53,0.0011160244261949,3.970291913552122,-6.796865880345941,0.33718249055673205,1.1282759898758947
’s up,1299,8.042098746324e-4,7.1693500166706,-7.124845751324951,0.33718249055673205,1.1282759898758947
’ve up,2,6.840413160954922e-5,0.6931471805599453,-9.590008925040337,0.33718249055673205,1.1282759898758947
= up,234367,7.670338220200538e-5,12.364643541790924,-9.475488047733291,0.33718249055673205,1.1282759898758947
° up,980,7.410503799319928e-5,6.887552571664617,-9.50995293107748,0.33718249055673205,1.1282759898758947
• up,3733,5.589762466091195e-5,8.224967478914584,-9.791932772168227,0.33718249055673205,1.1282759898758947
•set up,28,0.1166666666666666,3.332204510175204,-2.024381764496809,0.33718249055673205,1.1282759898758947
absorb up,54980,0.0029449136178312,10.914724761719237,-5.82472653570676,0.33718249055673205,1.1282759898758947
absorbing up,8008,0.0014087170524601,8.988196320995057,-6.56366617044004,0.33718249055673205,1.1282759898758947
absorbs up,14304,0.003798831880443,9.568294497413296,-5.569255593621949,0.33718249055673205,1.1282759898758947
accelerate up,33061,0.0024513274953069,10.406109618951431,-6.00867122942823,0.33718249055673205,1.1282759898758947
accelerated up,23371,0.002162475157351,10.059251216519025,-6.134336990471376,0.33718249055673205,1.1282759898758947
accelerates up,10919,0.0042903345077824,9.298259670014065,-5.4470910108380695,0.33718249055673205,1.1282759898758947
accelerating up,22762,0.0037589378399632,10.032847757841836,-5.5798528304584805,0.33718249055673205,1.1282759898758947
accept up,80066,6.599901974977e-4,11.290606573530575,-7.322625367243408,0.33718249055673205,1.1282759898758947
accepted up,55348,8.19871985732e-4,10.921395803789276,-7.105542136589575,0.33718249055673205,1.1282759898758947
accepting up,12482,5.518923625074e-4,9.432042885493988,-7.50160548144772,0.33718249055673205,1.1282759898758947
accepts up,32326,0.0024676366016935,10.383627138969754,-6.002023741592009,0.33718249055673205,1.1282759898758947
access up,131569,3.232933604604e-4,11.787286707814165,-8.036627064588494,0.33718249055673205,1.1282759898758947
accessed up,7028,3.661102742065e-4,8.857657449306988,-7.912209796988217,0.33718249055673205,1.1282759898758947
accommodate up,1028973,0.039340352412401,13.844071775404881,-3.1953694103581274,0.33718249055673205,1.1282759898758947
accommodated up,7116,0.0025974007012543,8.870101048785726,-5.950643284506174,0.33718249055673205,1.1282759898758947
accommodates up,141620,0.060282042659697103,11.860902693205764,-2.7465455254818814,0.33718249055673205,1.1282759898758947
accommodating up,81206,0.0149418259439012,11.304744415045533,-4.188536308679663,0.33718249055673205,1.1282759898758947
accommodation up,13230,4.917945766247e-4,9.490242257109001,-7.6169575402990395,0.33718249055673205,1.1282759898758947
accomodate up,21096,0.0210978566113818,9.956838728033123,-3.83726022893072,0.33718249055673205,1.1282759898758947
accomodates up,2784,0.0504786771105308,7.931644021454311,-2.9344069752866533,0.33718249055673205,1.1282759898758947
accompany up,5075,2.167395630504e-4,8.532081803909987,-8.436597332425114,0.33718249055673205,1.1282759898758947
accomplish up,13930,2.582559878588e-4,9.54180006677385,-8.26130097460394,0.33718249055673205,1.1282759898758947
accomplished up,12398,4.39500230314e-4,9.425290448261865,-7.729432719963927,0.33718249055673205,1.1282759898758947
account up,131077,3.491914986163e-4,11.78354021576415,-7.959540827129161,0.33718249055673205,1.1282759898758947
accounts up,52744,6.358546251926e-4,10.873205300793135,-7.359904540626512,0.33718249055673205,1.1282759898758947
accrue up,8212,0.0042422986935765,9.013351778138825,-5.458398689160564,0.33718249055673205,1.1282759898758947
accrued up,9528,0.0033028606766843,9.161990111035136,-5.709657987142459,0.33718249055673205,1.1282759898758947
accumulate up,25489,0.0030404197255952,10.146002265529594,-5.792714654272699,0.33718249055673205,1.1282759898758947
accumulated up,19321,0.0016511964743481,9.868947866261383,-6.404602556683418,0.33718249055673205,1.1282759898758947
ace up,105355,0.0136159351222112,11.565090878950908,-4.2828049898920835,0.33718249055673205,1.1282759898758947
aces up,35001,0.0143242541983189,10.463131911491967,-4.231373244002708,0.33718249055673205,1.1282759898758947
achieve up,100116,8.096628697444e-4,11.514084792690074,-7.1180826163056325,0.33718249055673205,1.1282759898758947
achieved up,40061,6.357667308527e-4,10.598158571464415,-7.360042868375312,0.33718249055673205,1.1282759898758947
achieves up,21461,0.003443497660424,9.973992613421482,-5.6678181222534185,0.33718249055673205,1.1282759898758947
achieving up,24770,8.859331871895e-4,10.117388522483406,-7.027982693837362,0.33718249055673205,1.1282759898758947
acommodate up,316,0.0336170212765957,5.755742213586912,-3.3585276896385383,0.33718249055673205,1.1282759898758947
acquire up,78857,0.0021597973405271,11.275391364608074,-6.135578752451301,0.33718249055673205,1.1282759898758947
acquired up,21610,4.848774443651e-4,9.980911449500931,-7.631129395954077,0.33718249055673205,1.1282759898758947
acquiring up,12818,8.199976035957e-4,9.458605712064172,-7.105388806168983,0.33718249055673205,1.1282759898758947
act up,266394,0.0014913729688361,12.492731694872212,-6.50656564153722,0.33718249055673205,1.1282759898758947
